	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8309	0.7156	0.7965	0.882	0.6409	0.7732
2	0.6928	0.7076	0.7081	0.8371	0.4115	0.6714
3	0.7657	0.7076	0.7513	0.8978	0.6177	0.748
4	0.7907	0.7869	0.6885	0.852	0.4834	0.7203
5	0.7522	0.715	0.7104	0.8134	0.3712	0.6724
6	0.7789	0.7332	0.7517	0.8673	0.5755	0.7413
7	0.7255	0.7188	0.7536	0.8059	0.5306	0.7069
8	0.7913	0.6904	0.7453	0.7457	0.5308	0.7007
9	0.7754	0.6319	0.6841	0.7919	0.4831	0.6733
10	0.7828	0.6693	0.6491	0.7806	0.4142	0.6592
SD	0.0382	0.0404	0.0435	0.0483	0.0902	0.0521
Average	0.7686	0.7076	0.7239	0.8274	0.5059	0.7067
