	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0228	-0.0889	-0.0139	-0.0395	-0.0185	-0.0367
2	-0.0004	-0.0795	0.0003	-0.0675	-0.0202	-0.0335
3	-0.0286	-0.0566	-0.0154	-0.0562	-0.012	-0.0337
4	-0.0177	-0.0999	0.008	-0.0533	-0.0282	-0.0382
5	-0.0227	-0.0721	0.005	-0.051	-0.0188	-0.032
6	-0.028	-0.0778	-0.0024	-0.0964	-0.0275	-0.0464
7	-0.0256	-0.0479	0.0019	-0.0422	-0.0056	-0.0239
8	-0.0209	-0.0854	-0.0178	-0.0857	0.0016	-0.0416
9	-0.0178	-0.0849	-0.0092	-0.0761	-0.0255	-0.0427
10	-0.0231	-0.0889	-0.0226	-0.0858	-0.0297	-0.05
SD	-0.0013	0.0032	-0.0004	0.0087	0.0048	0.0031
Average	-0.0208	-0.0782	-0.0066	-0.0654	-0.0184	-0.0379
