	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0004	-0.0013	-0.0154	-0.0494	0.0096	-0.0113
2	0.0002	0.0007	-0.025	-0.0502	-0.0302	-0.0209
3	-0.0007	-0.0013	-0.0008	-0.0355	0.0147	-0.0047
4	-0.0002	0.0028	-0.0297	-0.0396	-0.0122	-0.0158
5	-0.0001	-0.0018	-0.0118	-0.0322	-0.0357	-0.0164
6	-0.0007	0.0006	-0.0345	-0.0218	0.0013	-0.011
7	0.0026	0.0075	-0.0422	-0.0794	0.0219	-0.0179
8	0.0002	-0.0018	-0.0152	0.0114	-0.0018	-0.0015
9	-0.0006	-0.0017	-0.0209	-0.0345	-0.0176	-0.0151
10	0.0001	-0.0004	-0.0057	-0.0058	-0.0204	-0.0064
SD	0.0002	-0.0001	0.0018	0.0016	0.0069	0.0021
Average	0.0	0.0003	-0.0201	-0.0337	-0.007	-0.0121
