	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1236	-0.0913	-0.027	-0.0024	-0.06	-0.0608
2	-0.2276	-0.0866	-0.0462	-0.0031	-0.2872	-0.1302
3	-0.1506	-0.0921	-0.0432	-0.0026	-0.0455	-0.0668
4	-0.136	-0.0288	-0.0091	0.0	-0.1351	-0.0618
5	-0.1836	-0.1317	-0.0559	-0.0124	-0.293	-0.1354
6	-0.1771	-0.0876	-0.0152	-0.0159	-0.1145	-0.0821
7	-0.2137	-0.0826	-0.0524	-0.0026	-0.1163	-0.0935
8	-0.1604	-0.1714	-0.0493	-0.0376	-0.1647	-0.1167
9	-0.1502	-0.1061	-0.0236	-0.0085	-0.1721	-0.0921
10	-0.174	-0.1292	-0.0588	-0.0329	-0.2298	-0.1249
SD	0.0226	0.0072	-0.0012	0.0084	0.0624	0.0199
Average	-0.1697	-0.1008	-0.038	-0.0118	-0.1618	-0.0964
