	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9545	0.8069	0.8235	0.8844	0.7009	0.834
2	0.9204	0.7942	0.7543	0.8402	0.6987	0.8016
3	0.9163	0.7997	0.7945	0.9004	0.6632	0.8148
4	0.9267	0.8157	0.6976	0.852	0.6185	0.7821
5	0.9358	0.8467	0.7663	0.8258	0.6642	0.8078
6	0.956	0.8208	0.7669	0.8832	0.69	0.8234
7	0.9392	0.8014	0.806	0.8085	0.6469	0.8004
8	0.9517	0.8618	0.7946	0.7833	0.6955	0.8174
9	0.9256	0.738	0.7077	0.8004	0.6552	0.7654
10	0.9568	0.7985	0.7079	0.8135	0.644	0.7841
SD	0.0156	0.0332	0.0447	0.0399	0.0278	0.0322
Average	0.9383	0.8084	0.7619	0.8392	0.6677	0.8031
