	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9577	0.9	0.7948	0.8295	0.7749	0.8514
2	0.9327	0.868	0.827	0.8405	0.8128	0.8562
3	0.9502	0.8888	0.8595	0.8247	0.774	0.8594
4	0.9575	0.9155	0.7975	0.8048	0.7796	0.851
5	0.9639	0.8765	0.8563	0.8439	0.8322	0.8746
6	0.9458	0.8433	0.8517	0.8447	0.7221	0.8415
7	0.9506	0.8962	0.8254	0.8744	0.774	0.8641
8	0.9571	0.8881	0.7851	0.8306	0.7509	0.8424
9	0.9502	0.843	0.8144	0.8166	0.7755	0.8399
10	0.9425	0.8736	0.8046	0.7852	0.7223	0.8256
SD	0.009	0.0235	0.027	0.0243	0.0346	0.0237
Average	0.9508	0.8793	0.8216	0.8295	0.7718	0.8506

