	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9617	0.8918	0.7911	0.8402	0.775	0.852
2	0.954	0.9041	0.8539	0.8705	0.8302	0.8825
3	0.9552	0.8816	0.8471	0.869	0.7686	0.8643
4	0.959	0.897	0.7907	0.8218	0.7918	0.8521
5	0.9678	0.8741	0.8405	0.8558	0.8289	0.8734
6	0.9592	0.8781	0.8662	0.882	0.7532	0.8677
7	0.9647	0.8997	0.8303	0.886	0.7834	0.8728
8	0.9687	0.9014	0.7913	0.8497	0.7524	0.8527
9	0.9465	0.8238	0.8066	0.8204	0.783	0.8361
10	0.9531	0.877	0.7972	0.8095	0.7445	0.8363
SD	0.007	0.0235	0.0293	0.0269	0.0297	0.0233
Average	0.959	0.8829	0.8215	0.8505	0.7811	0.859

