	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.1228	0.5337	0.4281	0.652	0.3649	0.4203
2	0.1016	0.5078	0.4015	0.555	0.3687	0.3869
3	0.0456	0.5204	0.3316	0.6138	0.3043	0.3631
4	0.394	0.4638	0.3476	0.5335	0.3903	0.4258
5	0.0587	0.2936	0.1481	0.4091	0.1649	0.2149
6	0.2005	0.3389	0.1416	0.4064	0.2218	0.2618
7	-0.021	0.5508	0.4363	0.5778	0.435	0.3958
8	0.3461	0.4635	0.308	0.5014	0.2569	0.3752
9	0.3287	0.5238	0.4836	0.596	0.4395	0.4743
10	0.2749	0.4757	0.2799	0.5063	0.3451	0.3764
SD	0.1442	0.0855	0.1162	0.0818	0.091	0.1037
Average	0.1852	0.4672	0.3306	0.5351	0.3291	0.3695

