	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0065	-0.0098	-0.0069	-0.0318	-0.0044	-0.0118
2	-0.0209	-0.0327	-0.0184	-0.0389	-0.0187	-0.0259
3	-0.0071	-0.0123	0.0002	-0.0476	-0.0006	-0.0135
4	-0.0027	0.0003	-0.0013	-0.0258	-0.0118	-0.0082
5	-0.0054	-0.0059	0.004	-0.0212	-0.0011	-0.0059
6	-0.0136	-0.0329	-0.0102	-0.0446	-0.0261	-0.0255
7	-0.0141	-0.0092	-0.0054	-0.0152	-0.0107	-0.011
8	-0.0115	-0.028	-0.0115	-0.037	-0.0043	-0.0184
9	0.0008	-0.002	-0.0041	-0.02	-0.0084	-0.0068
10	-0.0115	-0.0158	0.0009	-0.0325	-0.0183	-0.0155
SD	0.0024	0.0017	0.0007	-0.0005	0.0033	0.0015
Average	-0.0093	-0.0148	-0.0053	-0.0314	-0.0105	-0.0143

