	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0025	-0.018	-0.0106	-0.0211	-0.0043	-0.0112
2	0.0004	0.0034	0.0085	-0.0089	-0.0013	0.0004
3	-0.0021	-0.0195	-0.0122	-0.0033	-0.006	-0.0086
4	-0.0012	-0.0182	-0.0081	-0.0088	0.0004	-0.0071
5	-0.0015	-0.0083	-0.0118	-0.0093	-0.0044	-0.0071
6	-0.0002	0.0019	0.0043	-0.0073	0.005	0.0007
7	0.0	-0.0057	-0.0005	-0.0036	-0.0013	-0.0023
8	0.0001	-0.0147	-0.0053	-0.0179	-0.0028	-0.0081
9	-0.0029	-0.0212	-0.0119	-0.0162	-0.0009	-0.0106
10	-0.0009	-0.0124	-0.0065	-0.0082	0.0039	-0.0048
SD	0.0004	0.0017	0.003	0.0021	-0.0016	0.0011
Average	-0.0011	-0.0112	-0.0054	-0.0104	-0.0012	-0.0059

