	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.8414	-0.3761	-0.3736	-0.2093	-0.4144	-0.4429
2	-0.852	-0.3929	-0.4439	-0.3244	-0.4628	-0.4952
3	-0.9117	-0.3807	-0.5277	-0.2585	-0.4703	-0.5098
4	-0.5662	-0.4514	-0.4512	-0.2971	-0.4011	-0.4334
5	-0.9106	-0.5888	-0.7042	-0.456	-0.6684	-0.6656
6	-0.7589	-0.5373	-0.7203	-0.4829	-0.5264	-0.6052
7	-0.9857	-0.3546	-0.3945	-0.3118	-0.3497	-0.4793
8	-0.6225	-0.4526	-0.4886	-0.3662	-0.4983	-0.4856
9	-0.6207	-0.3212	-0.3349	-0.2406	-0.3444	-0.3724
10	-0.6791	-0.4137	-0.5238	-0.3114	-0.3955	-0.4647
SD	0.1376	0.0637	0.0899	0.057	0.0597	0.0815
Average	-0.7749	-0.4269	-0.4963	-0.3258	-0.4532	-0.4954

