	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9642	0.9098	0.8017	0.8613	0.7793	0.8632
2	0.9536	0.9007	0.8454	0.8794	0.8315	0.8821
3	0.9573	0.9011	0.8593	0.8723	0.7746	0.8729
4	0.9602	0.9152	0.7988	0.8306	0.7914	0.8592
5	0.9693	0.8824	0.8523	0.8651	0.8333	0.8805
6	0.9594	0.8762	0.8619	0.8893	0.7482	0.867
7	0.9647	0.9054	0.8308	0.8896	0.7847	0.8751
8	0.9686	0.9161	0.7966	0.8676	0.7552	0.8608
9	0.9494	0.845	0.8185	0.8366	0.7839	0.8467
10	0.954	0.8894	0.8037	0.8177	0.7406	0.8411
SD	0.0066	0.0218	0.0263	0.0248	0.0313	0.0222
Average	0.9601	0.8941	0.8269	0.8609	0.7823	0.8649

