	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9306	0.7292	0.7621	0.762	0.6601	0.7688
2	0.9017	0.6714	0.6607	0.7002	0.6917	0.7251
3	0.9128	0.7285	0.7966	0.7586	0.605	0.7603
4	0.9112	0.7323	0.7856	0.8224	0.6713	0.7846
5	0.9421	0.7935	0.7698	0.7988	0.6752	0.7959
6	0.9085	0.7075	0.7163	0.739	0.6183	0.7379
7	0.9311	0.7792	0.7649	0.8326	0.6933	0.8002
8	0.9103	0.7737	0.7956	0.804	0.6767	0.7921
9	0.9253	0.755	0.8011	0.8103	0.6125	0.7808
10	0.8957	0.6228	0.6897	0.7343	0.618	0.7121
SD	0.0147	0.0521	0.0488	0.0437	0.0349	0.0388
Average	0.9169	0.7293	0.7542	0.7762	0.6522	0.7658

