	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9504	0.7848	0.7642	0.8194	0.6497	0.7937
2	0.9312	0.7785	0.6504	0.7948	0.6836	0.7677
3	0.9294	0.842	0.7923	0.8294	0.6576	0.8101
4	0.9298	0.7945	0.7697	0.8275	0.6783	0.8
5	0.958	0.8389	0.7563	0.8113	0.6847	0.8098
6	0.9418	0.8375	0.7129	0.7532	0.6329	0.7757
7	0.9491	0.8464	0.7477	0.8526	0.7377	0.8267
8	0.9249	0.8342	0.7694	0.8025	0.6805	0.8023
9	0.9422	0.8213	0.7789	0.7958	0.6034	0.7883
10	0.9278	0.7013	0.6832	0.7565	0.6194	0.7376
SD	0.0114	0.0451	0.0458	0.0313	0.0388	0.0345
Average	0.9385	0.8079	0.7425	0.8043	0.6628	0.7912

