	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7854	0.6734	0.7108	0.805	0.4142	0.6778
2	0.7634	0.7003	0.6603	0.8093	0.517	0.6901
3	0.7158	0.7551	0.7686	0.8513	0.587	0.7356
4	0.7728	0.6897	0.7715	0.8347	0.5459	0.7229
5	0.7846	0.7094	0.7466	0.819	0.526	0.7171
6	0.759	0.6993	0.7024	0.8225	0.4316	0.6829
7	0.8052	0.785	0.7108	0.8807	0.6806	0.7725
8	0.7297	0.7769	0.7657	0.8272	0.47	0.7139
9	0.7905	0.6796	0.75	0.8461	0.4928	0.7118
10	0.8116	0.5853	0.6646	0.8144	0.4311	0.6614
SD	0.0308	0.0581	0.0416	0.023	0.0817	0.047
Average	0.7718	0.7054	0.7251	0.831	0.5096	0.7086

