	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0196	-0.0562	-0.0089	-0.0692	-0.0165	-0.0341
2	-0.0269	-0.1064	-0.0202	-0.1208	0.0087	-0.0532
3	-0.0174	-0.1114	-0.0204	-0.1101	-0.0289	-0.0576
4	-0.0193	-0.0639	-0.0056	-0.027	-0.0182	-0.0268
5	-0.0166	-0.0467	-0.0088	-0.0404	-0.0229	-0.0271
6	-0.0332	-0.1318	-0.0211	-0.078	-0.0353	-0.0599
7	-0.0182	-0.066	0.0086	-0.0534	-0.0302	-0.0319
8	-0.0145	-0.0541	-0.0047	-0.0368	-0.0254	-0.0271
9	-0.0172	-0.0684	0.0046	-0.0397	0.0153	-0.0211
10	-0.032	-0.0802	-0.0089	-0.0789	-0.0262	-0.0452
SD	0.0031	0.0078	0.0039	0.0206	-0.0028	0.0065
Average	-0.0215	-0.0785	-0.0086	-0.0655	-0.018	-0.0384

