	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0002	-0.0006	-0.0068	-0.0118	-0.0269	-0.0092
2	0.0026	0.0007	-0.0305	-0.0262	0.0006	-0.0106
3	-0.0008	0.0021	-0.0247	-0.0393	0.0237	-0.0078
4	-0.0007	-0.0017	-0.0215	-0.0219	-0.0112	-0.0114
5	-0.0007	-0.0013	-0.0223	-0.0279	-0.0134	-0.0132
6	0.0001	-0.0018	-0.0245	-0.0638	-0.0207	-0.0221
7	-0.0002	0.0012	-0.0086	-0.0334	0.0142	-0.0054
8	0.0001	0.0064	-0.0309	-0.0383	-0.0216	-0.0169
9	-0.0003	-0.0021	-0.0176	-0.0542	0.0062	-0.0136
10	0.0001	-0.0017	-0.0154	-0.0567	-0.0248	-0.0197
SD	-0.0002	0.0008	0.0009	0.0082	0.0011	0.0022
Average	0.0001	0.0001	-0.0203	-0.0374	-0.0074	-0.013

