	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1648	-0.112	-0.0602	-0.0262	-0.2624	-0.1251
2	-0.1652	-0.0775	-0.0206	-0.0117	-0.166	-0.0882
3	-0.2144	-0.0848	-0.0484	-0.0174	-0.0469	-0.0823
4	-0.1577	-0.1065	-0.0197	-0.0147	-0.1436	-0.0885
5	-0.1741	-0.1308	-0.032	-0.0202	-0.1721	-0.1059
6	-0.1827	-0.14	-0.035	0.0055	-0.222	-0.1149
7	-0.1441	-0.0602	-0.0455	-0.0053	-0.0429	-0.0596
8	-0.1951	-0.0509	-0.0346	-0.0136	-0.2321	-0.1053
9	-0.152	-0.1438	-0.0465	-0.0039	-0.1044	-0.0901
10	-0.1161	-0.1177	-0.034	0.0012	-0.2131	-0.0959
SD	0.0192	0.0138	-0.0033	-0.0001	0.044	0.0147
Average	-0.1666	-0.1024	-0.0377	-0.0107	-0.1606	-0.0956

