	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9502	0.7854	0.771	0.8312	0.6766	0.8029
2	0.9286	0.7778	0.6809	0.821	0.683	0.7783
3	0.9302	0.8399	0.817	0.8687	0.6339	0.8179
4	0.9305	0.7962	0.7912	0.8494	0.6895	0.8114
5	0.9587	0.8402	0.7786	0.8392	0.6981	0.823
6	0.9417	0.8393	0.7374	0.817	0.6536	0.7978
7	0.9493	0.8452	0.7563	0.886	0.7235	0.8321
8	0.9248	0.8278	0.8003	0.8408	0.7021	0.8192
9	0.9425	0.8234	0.7965	0.85	0.5972	0.8019
10	0.9277	0.703	0.6986	0.8132	0.6442	0.7573
SD	0.0116	0.0443	0.0449	0.0231	0.0377	0.0323
Average	0.9384	0.8078	0.7628	0.8417	0.6702	0.8042

