Word	Joy	Anger	Sadness	Fear	Disgust
aborcja	1.260200023651123	3.029099941253662	2.99180006980896	3.3626999855041504	2.476599931716919
absolwent	2.901099920272827	1.4378999471664429	1.4336999654769897	1.7058000564575195	1.3042999505996704
absurd	1.7877000570297241	2.202899932861328	1.9818999767303467	2.528599977493286	1.840399980545044
adres	2.0539000034332275	1.6136000156402588	1.5609999895095825	1.8600000143051147	1.513200044631958
aerozol	2.0044000148773193	1.7613999843597412	1.70169997215271	2.055799961090088	1.6196999549865723
afront	1.4799000024795532	2.379300117492676	2.1861000061035156	2.404900074005127	1.9895999431610107
agencja	2.0139999389648438	1.8798999786376953	1.7929999828338623	2.202199935913086	1.676900029182434
agonia	1.094099998474121	3.270699977874756	3.4363999366760254	3.543299913406372	3.1391000747680664
agresja	1.2436000108718872	3.1410000324249268	3.135999917984009	3.5446999073028564	2.5576999187469482
agresywność	1.2835999727249146	2.9774999618530273	2.8887999057769775	3.286900043487549	2.4079999923706055
agresywny	1.2616000175476074	3.007499933242798	2.9637999534606934	3.3243000507354736	2.4642999172210693
AIDS	1.1632000207901	3.348900079727173	3.442699909210205	3.8155999183654785	2.884399890899658
akademik	2.487299919128418	1.5684000253677368	1.5255999565124512	1.8913999795913696	1.419100046157837
akcent	2.404400110244751	1.5729999542236328	1.5282000303268433	1.8791999816894531	1.4342999458312988
akceptacja	3.4267001152038574	1.298699975013733	1.3522000312805176	1.4667999744415283	1.19350004196167
aksamit	2.821700096130371	1.2984000444412231	1.3091000318527222	1.3898999691009521	1.2254999876022339
akt	2.2309999465942383	1.7354999780654907	1.6789000034332275	2.0757999420166016	1.562999963760376
aktualności	2.36299991607666	1.6412999629974365	1.5947999954223633	1.975100040435791	1.482699990272522
aktywność	3.035399913787842	1.4221999645233154	1.4292000532150269	1.695199966430664	1.2864999771118164
aktywny	3.0708000659942627	1.4851000308990479	1.4839999675750732	1.868899941444397	1.3187999725341797
aktywować	2.8162999153137207	1.5205999612808228	1.499400019645691	1.8854999542236328	1.357100009918213
akwaforta	2.3587000370025635	1.6371999979019165	1.590499997138977	1.9674999713897705	1.4807000160217285
akwarium	2.4001998901367188	1.3808000087738037	1.3493000268936157	1.507599949836731	1.3082000017166138
alarm	1.7182999849319458	2.1489999294281006	1.9557000398635864	2.4300999641418457	1.843500018119812
Albania	2.1774001121520996	1.688599944114685	1.638200044631958	1.9961999654769897	1.544600009918213
album	2.4593000411987305	1.451799988746643	1.4158999919891357	1.6663000583648682	1.3460999727249146
aleja	2.4948999881744385	1.38919997215271	1.3624000549316406	1.5370999574661255	1.3072999715805054
alergia	1.3830000162124634	2.658600091934204	2.400899887084961	2.7797999382019043	2.18969988822937
alimenty	1.4743000268936157	2.453200101852417	2.2056000232696533	2.593899965286255	2.05430006980896
alkoholik	1.1758999824523926	3.107599973678589	3.151099920272827	3.3203999996185303	2.82669997215271
alkoholizm	1.1684000492095947	3.2293999195098877	3.307499885559082	3.5657999515533447	2.873699903488159
altruizm	2.9177000522613525	1.3973000049591064	1.3990000486373901	1.611299991607666	1.2786999940872192
ambicja	3.265700101852417	1.4431999921798706	1.4607000350952148	1.8111000061035156	1.281499981880188
ambitny	3.414400100708008	1.3809000253677368	1.4187999963760376	1.670300006866455	1.2373000383377075
ambulans	1.819000005722046	2.194000005722046	1.9753999710083008	2.5292000770568848	1.8323999643325806
anchois	1.886299967765808	1.8768999576568604	1.7884000539779663	2.1619999408721924	1.6964000463485718
anemiczny	1.304900050163269	2.3931000232696533	2.473400115966797	2.3252999782562256	2.1522998809814453
Anglia	2.620300054550171	1.4118000268936157	1.3904000520706177	1.6014000177383423	1.3091000318527222
animusz	2.564500093460083	1.6123000383377075	1.5663000345230103	1.9848999977111816	1.4328999519348145
anioł	3.231600046157837	1.266700029373169	1.320099949836731	1.3552000522613525	1.1914000511169434
antyczny	2.5048999786376953	1.4785000085830688	1.4422999620437622	1.7282999753952026	1.3569999933242798
antylopa	2.3361001014709473	1.590000033378601	1.5441999435424805	1.889799952507019	1.4557000398635864
antypatia	1.375100016593933	2.4946999549865723	2.307300090789795	2.458699941635132	2.125200033187866
anulować	1.674399971961975	2.081399917602539	1.958799958229065	2.2506000995635986	1.7991000413894653
anyż	2.071199893951416	1.7696000337600708	1.7081999778747559	2.0815999507904053	1.6125999689102173
apartament	2.95169997215271	1.4198999404907227	1.4214999675750732	1.6720999479293823	1.2904000282287598
apatia	1.306399941444397	2.3777999877929688	2.4809999465942383	2.316499948501587	2.1484999656677246
apatyczny	1.3798999786376953	2.2613000869750977	2.2727999687194824	2.23009991645813	2.057800054550171
apodyktyczny	1.407099962234497	2.696500062942505	2.425600051879883	2.8838000297546387	2.168100118637085
areszt	1.332200050354004	2.8261001110076904	2.598299980163574	2.9951000213623047	2.2888998985290527
arka	2.413300037384033	1.4697999954223633	1.43149995803833	1.692199945449829	1.3636000156402588
arkusz	2.0280001163482666	1.761299967765808	1.7021000385284424	2.0615999698638916	1.6160000562667847
armata	1.9467999935150146	1.9781999588012695	1.8705999851226807	2.3011999130249023	1.7371000051498413
arogancki	1.3473999500274658	2.811300039291382	2.569999933242798	2.993499994277954	2.2616000175476074
artystyczny	3.0810000896453857	1.3747999668121338	1.3906999826431274	1.5853999853134155	1.2551000118255615
as	2.878200054168701	1.4752000570297241	1.4636000394821167	1.795699954032898	1.3271000385284424
asertywny	2.9514000415802	1.417199969291687	1.419100046157837	1.6654000282287598	1.288699984550476
aspekt	2.0599000453948975	1.5407999753952026	1.4878000020980835	1.7476999759674072	1.4550000429153442
aspołeczny	1.370300054550171	2.504499912261963	2.3143999576568604	2.4721999168395996	2.136399984359741
astma	1.253499984741211	2.649600028991699	2.5143001079559326	2.6438000202178955	2.4001998901367188
astronauta	2.678299903869629	1.486199975013733	1.4601000547409058	1.7785999774932861	1.3468999862670898
atak	1.476099967956543	2.785599946975708	2.481600046157837	3.1094000339508057	2.1468000411987305
atakować	1.4562000036239624	2.787600040435791	2.492000102996826	3.0906999111175537	2.1619999408721924
atakowanie	1.4674999713897705	2.7904999256134033	2.489500045776367	3.1071999073028564	2.154599905014038
atlas	2.489300012588501	1.4431999921798706	1.4098999500274658	1.6531000137329102	1.3381999731063843
atletyka	2.594099998474121	1.5009000301361084	1.4673000574111938	1.7918000221252441	1.3617000579833984
atmosfera	2.668299913406372	1.4889999628067017	1.461899995803833	1.7831000089645386	1.3493000268936157
atrakcyjny	3.5032999515533447	1.4004000425338745	1.440000057220459	1.7516000270843506	1.2410999536514282
atrament	2.026900053024292	1.631600022315979	1.5777000188827515	1.8767999410629272	1.5302000045776367
atut	3.0292000770568848	1.3906999826431274	1.4011000394821167	1.6152000427246094	1.2676000595092773
audytorium	2.1605000495910645	1.7275999784469604	1.6740000247955322	2.0478999614715576	1.5722999572753906
aura	2.5406999588012695	1.4514000415802002	1.4205000400543213	1.6777000427246094	1.3384000062942505
Austria	2.5165998935699463	1.43149995803833	1.4012000560760498	1.63100004196167	1.3291000127792358
autobus	2.011399984359741	1.6203999519348145	1.5651999711990356	1.8567999601364136	1.5236999988555908
autonomia	2.552999973297119	1.4651999473571777	1.43340003490448	1.7094000577926636	1.3449000120162964
autonomiczny	2.6386001110076904	1.5379999876022339	1.5039000511169434	1.8761999607086182	1.3832999467849731
autorytatywny	1.8233000040054321	1.9321999549865723	1.8327000141143799	2.199700117111206	1.7311999797821045
autorytet	3.1089999675750732	1.3831000328063965	1.399899959564209	1.6122000217437744	1.2581000328063965
autostrada	2.578900098800659	1.5647000074386597	1.5254000425338745	1.9097000360488892	1.4046000242233276
awans	3.4321000576019287	1.382599949836731	1.4213000535964966	1.6799999475479126	1.236899971961975
awanturnictwo	1.336400032043457	2.8617000579833984	2.6568000316619873	3.098900079727173	2.289299964904785
awaria	1.4465999603271484	2.648900032043457	2.3703999519348145	2.8698999881744385	2.117300033569336
awersja	1.4017000198364258	2.625	2.364000082015991	2.7555999755859375	2.160399913787842
azyl	2.781899929046631	1.3502999544143677	1.3483999967575073	1.4922000169754028	1.2618999481201172
babcia	3.3761000633239746	1.2616000175476074	1.329200029373169	1.355299949645996	1.183899998664856
babunia	3.4275999069213867	1.2646000385284424	1.330899953842163	1.375	1.1783000230789185
bachor	1.375	2.7795000076293945	2.5232999324798584	2.9793999195098877	2.222599983215332
bać się	1.2768000364303589	2.926300048828125	2.8178000450134277	3.1623001098632812	2.3991000652313232
badać	2.2985000610351562	1.728700041770935	1.6714999675750732	2.085400104522705	1.5455000400543213
bagatelizować	1.49399995803833	2.2588999271392822	2.119800090789795	2.2678000926971436	1.9457999467849731
bagażnik	2.0271999835968018	1.7796000242233276	1.7157000303268433	2.084199905395508	1.6256999969482422
bagno	1.3320000171661377	2.4899001121520996	2.362799882888794	2.410799980163574	2.164599895477295
bajka	3.1382999420166016	1.3029999732971191	1.3351000547409058	1.4375	1.2120000123977661
bajkowy	3.162100076675415	1.284600019454956	1.3235000371932983	1.395300030708313	1.1994999647140503
balkon	2.5165998935699463	1.43149995803833	1.4012000560760498	1.63100004196167	1.3291000127792358
balon	2.6482999324798584	1.399899959564209	1.381700038909912	1.579200029373169	1.2999999523162842
balsam	2.860599994659424	1.2898000478744507	1.3056000471115112	1.375100016593933	1.218999981880188
bałaganiarski	1.4801000356674194	2.4260001182556152	2.200700044631958	2.510499954223633	2.01990008354187
bałaganiarstwo	1.479699969291687	2.5620999336242676	2.28629994392395	2.7827000617980957	2.065700054168701
bałaganić	1.648300051689148	2.358799934387207	2.0959999561309814	2.6719000339508057	1.9151999950408936
bambus	2.262200117111206	1.5377000570297241	1.492900013923645	1.7913999557495117	1.4294999837875366
banalny	1.6848000288009644	1.986299991607666	1.8877999782562256	2.1468000411987305	1.7436000108718872
bandaż	1.5735000371932983	1.9808000326156616	1.910099983215332	2.085400104522705	1.7747000455856323
bandyta	1.2467000484466553	2.948699951171875	2.8801000118255615	3.1440000534057617	2.4979000091552734
bandzior	1.2419999837875366	2.950900077819824	2.8880999088287354	3.1349000930786133	2.519200086593628
bandżo	2.544800043106079	1.5549999475479126	1.514299988746643	1.8841999769210815	1.4026000499725342
baner	1.9147000312805176	1.819599986076355	1.7440999746322632	2.100800037384033	1.6627999544143677
bank	1.9460999965667725	1.81850004196167	1.7440999746322632	2.109999895095825	1.6578999757766724
bankiet	2.9170000553131104	1.440999984741211	1.4372999668121338	1.7171000242233276	1.3049999475479126
bankrut	1.2329000234603882	2.904900074005127	2.8148999214172363	3.009500026702881	2.528599977493286
bar	2.5752999782562256	1.5317000150680542	1.4937000274658203	1.8496999740600586	1.3840999603271484
baran	1.8985999822616577	1.8367999792099	1.7568999528884888	2.1166000366210938	1.673699975013733
barbarzyńca	1.4150999784469604	2.7671000957489014	2.493799924850464	3.0171000957489014	2.182499885559082
bardzo	2.822700023651123	1.5116000175476074	1.4915000200271606	1.8695000410079956	1.3518999814987183
barokowy	2.289400100708008	1.7422000169754028	1.6820000410079956	2.1015000343322754	1.5542999505996704
baron	2.3094000816345215	1.6957999467849731	1.6461000442504883	2.0436999797821045	1.5259000062942505
bas	2.524199962615967	1.6303999423980713	1.5809999704360962	2.003700017929077	1.4484000205993652
basen	2.7843000888824463	1.4255000352859497	1.4144999980926514	1.655500054359436	1.3046000003814697
bat	1.4975999593734741	2.4918999671936035	2.223900079727173	2.6974000930786133	2.0369999408721924
bawełna	2.3255999088287354	1.3759000301361084	1.3392000198364258	1.4874999523162842	1.3071999549865723
bawół	1.9139000177383423	1.7726999521255493	1.708400011062622	2.0420000553131104	1.6396000385284424
bazar	2.330199956893921	1.7384999990463257	1.6766999959945679	2.109299898147583	1.5429999828338623
bazooka	1.9387999773025513	2.1621999740600586	1.9503999948501587	2.5353000164031982	1.7970000505447388
bażant	2.089099884033203	1.5176000595092773	1.4660999774932861	1.7105000019073486	1.4354000091552734
bąbel	1.743899941444397	1.9355000257492065	1.840399980545044	2.1375999450683594	1.7203999757766724
beczeć	1.360700011253357	2.5244998931884766	2.3285000324249268	2.501199960708618	2.159600019454956
beczka	2.0566000938415527	1.6266000270843506	1.5744999647140503	1.878499984741211	1.5226999521255493
bejcowanie	1.9271999597549438	1.7175999879837036	1.6585999727249146	1.9675999879837036	1.6038999557495117
Belgia	2.4605000019073486	1.520900011062622	1.4807000160217285	1.802899956703186	1.3895000219345093
belgijski	2.4921998977661133	1.4694000482559204	1.433500051498413	1.7075999975204468	1.3530000448226929
belka	1.9663000106811523	1.6922999620437622	1.6358000040054321	1.943600058555603	1.5820000171661377
berło	2.5662999153137207	1.5384999513626099	1.4996000528335571	1.8597999811172485	1.3898999691009521
bestia	1.4515999555587769	2.649199962615967	2.36929988861084	2.8787999153137207	2.112799882888794
beton	1.7655999660491943	1.9046000242233276	1.813099980354309	2.121799945831299	1.7105000019073486
bez emocji	1.6833000183105469	1.7173999547958374	1.6449999809265137	1.8798999786376953	1.6354999542236328
bez entuzjazmu	3.1928000450134277	1.285099983215332	1.3257999420166016	1.4012999534606934	1.198099970817566
