Word	Valence	Arousal	Dominance
ábaco	4.749100208282471	3.779900074005127	3.7878000736236572
abad	4.642300128936768	3.9793999195098877	3.8438000679016113
abadesa	3.955399990081787	4.721399784088135	4.531300067901611
abadía	5.491399765014648	3.800600051879883	3.900399923324585
abajo	4.463200092315674	3.7916998863220215	3.754199981689453
abalanzar	3.995699882507324	5.222799777984619	4.86870002746582
abanderado	5.068600177764893	4.068600177764893	4.08489990234375
abandonar	2.098400115966797	5.924799919128418	5.242499828338623
abarca	5.044400215148926	4.087800025939941	4.042699813842773
abarcar	4.889599800109863	3.735300064086914	3.76990008354187
abarque	4.868899822235107	3.5831000804901123	3.6215999126434326
abastecer	6.058000087738037	3.889400005340576	4.030099868774414
abastecimiento	5.760300159454346	3.9279000759124756	3.993000030517578
abasto	4.637800216674805	3.9862000942230225	3.9467999935150146
abatimiento	2.599100112915039	5.208600044250488	4.698800086975098
abdicación	3.649199962615967	4.7418999671936035	4.490900039672852
abdicar	5.445199966430664	4.798900127410889	4.493899822235107
abdomen	4.801499843597412	3.7901999950408936	3.802999973297119
abdominal	4.802599906921387	4.6869001388549805	4.355100154876709
abedul	5.35129976272583	3.698699951171875	3.7987000942230225
aberración	1.932800054550171	6.065800189971924	5.381700038909912
abertura	5.679800033569336	4.662499904632568	4.543900012969971
abeto	5.687399864196777	3.6965999603271484	3.8361001014709473
abierta	5.7947998046875	4.700799942016602	4.597799777984619
abogacía	4.285799980163574	4.690000057220459	4.42140007019043
abogar	4.55210018157959	4.405300140380859	4.191500186920166
abolición	4.019000053405762	5.914999961853027	5.408599853515625
abolir	5.178800106048584	5.2947001457214355	4.927499771118164
abolladura	2.8889000415802	5.009500026702881	4.615900039672852
abominable	2.656599998474121	5.241000175476074	4.7378997802734375
abonar	5.016499996185303	4.533100128173828	4.272299766540527
abono	5.139900207519531	4.152200222015381	3.918299913406372
abordaje	4.199900150299072	5.197199821472168	4.91510009765625
abordar	4.434999942779541	4.280700206756592	4.1057000160217285
abordo	4.746500015258789	3.955699920654297	3.9460999965667725
aborigen	4.80679988861084	3.7778000831604004	3.793600082397461
abortar	3.228100061416626	5.514200210571289	4.796999931335449
abra	4.901100158691406	3.6187000274658203	3.660099983215332
abrebotellas	5.218599796295166	4.054100036621094	4.071800231933594
abrelatas	4.427000045776367	4.1230998039245605	3.973400115966797
abreviación	5.225800037384033	4.264400005340576	4.209199905395508
abreviar	5.699999809265137	4.443399906158447	4.416100025177002
abreviatura	5.141900062561035	3.7527999877929688	3.806999921798706
abridor	5.33489990234375	3.988600015640259	4.060500144958496
abrigar	5.976600170135498	4.503499984741211	4.480400085449219
