Word	Joy	Anger	Sadness	Fear	Disgust
aal	1.53410005569458	1.6292999982833862	1.27839994430542	1.450600028038025	1.438099980354309
aas	1.1604000329971313	2.3986001014709473	1.7551000118255615	1.8827999830245972	1.7829999923706055
abart	1.236799955368042	2.414900064468384	1.6550999879837036	2.0116000175476074	1.6785000562667847
abbau	1.3894000053405762	2.068000078201294	1.4765000343322754	1.8253999948501587	1.5509999990463257
abbauen	1.4865000247955322	1.6151000261306763	1.2595000267028809	1.3932000398635864	1.4443000555038452
abbild	1.6079000234603882	1.4591000080108643	1.2218999862670898	1.3451000452041626	1.3234000205993652
abbruch	1.4455000162124634	1.9541000127792358	1.4323999881744385	1.791700005531311	1.5181000232696533
abdanken	1.5426000356674194	1.7242000102996826	1.3357000350952148	1.638800024986267	1.451300024986267
abdruck	1.6396000385284424	1.4661999940872192	1.225000023841858	1.3632999658584595	1.3246999979019165
abend	3.289099931716919	1.2347999811172485	1.2896000146865845	1.2685999870300293	1.1799999475479126
abendrot	3.90339994430542	1.2388999462127686	1.3295999765396118	1.3178000450134277	1.156499981880188
abends	2.644200086593628	1.2592999935150146	1.2278000116348267	1.264299988746643	1.208299994468689
abfahrt	2.1061999797821045	1.5773999691009521	1.3634999990463257	1.68149995803833	1.3179999589920044
abfall	1.2670999765396118	2.0662999153137207	1.454200029373169	1.5677000284194946	1.7798000574111938
abflug	2.4072999954223633	1.5038000345230103	1.345900058746338	1.6410000324249268	1.2685999870300293
abfuhr	1.3174999952316284	2.3290998935699463	1.590499997138977	2.0768001079559326	1.611199975013733
abgang	1.3890999555587769	1.9569000005722046	1.4053000211715698	1.6676000356674194	1.5973000526428223
abgas	1.1815999746322632	2.4184000492095947	1.7841999530792236	1.9853999614715576	1.756700038909912
abgeben	1.660599946975708	1.4414000511169434	1.2192000150680542	1.3495999574661255	1.316100001335144
abgrund	1.3350000381469727	2.359299898147583	1.6624000072479248	2.312299966812134	1.5895999670028687
abhang	1.5389000177383423	1.86489999294281	1.4199999570846558	1.9235999584197998	1.443600058555603
abhauen	1.4253000020980835	2.045599937438965	1.4759999513626099	1.8854000568389893	1.5255999565124512
abhilfe	2.400399923324585	1.270799994468689	1.2079999446868896	1.2660000324249268	1.2213000059127808
abitur	2.625999927520752	1.4589999914169312	1.2884999513626099	1.7487000226974487	1.235700011253357
abkehr	1.4651999473571777	1.9014999866485596	1.4117000102996826	1.7625000476837158	1.5032999515533447
ablauf	1.669700026512146	1.416700005531311	1.2105000019073486	1.3287999629974365	1.3077000379562378
