Word	Joy	Anger	Sadness	Fear	Disgust
solvaus	1.0231000185012817	2.8629000186920166	2.9195001125335693	2.776400089263916	2.518899917602539
hyväksyntä	3.050600051879883	1.5365999937057495	1.4895999431610107	1.7037999629974365	1.4164999723434448
onnettomuus	1.0700000524520874	3.0322999954223633	2.800600051879883	3.095099925994873	2.467600107192993
särky	1.031999945640564	2.849299907684326	2.8650999069213867	2.755199909210205	2.4946000576019287
saavutus	2.894399881362915	1.4972000122070312	1.4615999460220337	1.6301000118255615	1.4005999565124512
seikkailu	2.681299924850464	1.5183000564575195	1.4471999406814575	1.6409000158309937	1.4107999801635742
hellyys	3.8132998943328857	1.600000023841858	1.586400032043457	1.871399998664856	1.4397000074386597
tuska	1.055899977684021	3.0578999519348145	2.813800096511841	3.1324000358581543	2.472100019454956
sovinto	3.02839994430542	1.5339000225067139	1.4865000247955322	1.69760000705719	1.4154000282287598
kuja	1.561400055885315	1.5054999589920044	1.3530999422073364	1.492300033569336	1.4257999658584595
kiukku	1.1208000183105469	2.8905999660491943	2.6177000999450684	2.9144999980926514	2.37280011177063
ahdistus	1.0556999444961548	3.0576000213623047	2.8143999576568604	3.1310999393463135	2.4727001190185547
laite	1.6234999895095825	1.4407999515533447	1.307800054550171	1.420699954032898	1.378499984741211
armeija	1.5608999729156494	1.9616999626159668	1.7294000387191772	2.0283000469207764	1.749400019645691
perse	1.3421000242233276	2.2390999794006348	2.001300096511841	2.1579999923706055	1.9843000173568726
taide	2.3239998817443848	1.4891999959945679	1.4026999473571777	1.563599944114685	1.4004000425338745
persläpi	1.016700029373169	2.8141000270843506	2.9391000270843506	2.7191998958587646	2.5116000175476074
vauva	3.3027000427246094	1.583799958229065	1.5298999547958374	1.7980999946594238	1.4352999925613403
tynnyri	1.5750000476837158	1.4668999910354614	1.3238999843597412	1.4469000101089478	1.3982000350952148
äpärä	1.0270999670028687	2.7864999771118164	2.87719988822937	2.6807000637054443	2.4802000522613525
kauneus	3.13700008392334	1.537600040435791	1.4987000226974487	1.7136000394821167	1.4164999723434448
sänky	2.7990000247955322	1.4717999696731567	1.444000005722046	1.5830999612808228	1.3903000354766846
olut	1.8116999864578247	1.6614999771118164	1.489300012588501	1.7257000207901	1.5236999988555908
urpo	1.2714999914169312	2.3213999271392822	2.1043999195098877	2.2058000564575195	2.0488998889923096
narttu 	1.0189000368118286	2.843400001525879	2.936300039291382	2.754300117492676	2.5192999839782715
onni	3.872299909591675	1.5973000526428223	1.5915000438690186	1.8731000423431396	1.4383000135421753
kukoistus	2.6637001037597656	1.457900047302246	1.4249999523162842	1.5511000156402588	1.3839000463485718
kirja	2.06030011177063	1.4515000581741333	1.361299991607666	1.4825999736785889	1.3837000131607056
kulho	1.690600037574768	1.4306000471115112	1.3065999746322632	1.4150999784469604	1.3704999685287476
leipä	2.4370999336242676	1.4153000116348267	1.3779000043869019	1.4680999517440796	1.3596999645233154
veli	3.3157999515533447	1.5707999467849731	1.5269999504089355	1.7800999879837036	1.4297000169754028
kamari	1.7164000272750854	1.4386999607086182	1.3169000148773193	1.4278000593185425	1.3772000074386597
syöpä	1.0277999639511108	3.077199935913086	2.8715999126434326	3.111599922180176	2.520699977874756
auto	2.145400047302246	1.4499000310897827	1.3676999807357788	1.4902000427246094	1.3813999891281128
solu	1.6085000038146973	1.4555000066757202	1.3183000087738037	1.437000036239624	1.3897000551223755
tuoli	1.8164000511169434	1.4200999736785889	1.3121000528335571	1.4142999649047852	1.3625999689102173
kyrpä	1.2120000123977661	2.437000036239624	2.250699996948242	2.296799898147583	2.13070011138916
pylväs	1.5782999992370605	1.4572999477386475	1.3162000179290771	1.4357000589370728	1.3909000158309937
mukavuus	3.4946999549865723	1.523300051689148	1.5303000211715698	1.7264000177383423	1.4088000059127808
tietokone 	1.872499942779541	1.4371000528335571	1.3322999477386475	1.4427000284194946	1.3753000497817993
luottamus	3.525099992752075	1.579200029373169	1.5507999658584595	1.8127000331878662	1.4321999549865723
sisältö	1.6771999597549438	1.447700023651123	1.3198000192642212	1.4349000453948975	1.3839000463485718
ydin	1.5300999879837036	1.5190999507904053	1.3617000579833984	1.503999948501587	1.4364999532699585
nurkka	1.523800015449524	1.4882999658584595	1.3342000246047974	1.4661999940872192	1.413100004196167
käytävä	1.6303999423980713	1.4498000144958496	1.3162000179290771	1.4326000213623047	1.3854000568389893
mökki	2.515199899673462	1.4594000577926636	1.410599946975708	1.5389000177383423	1.3854000568389893
