Word	Joy	Anger	Sadness	Fear	Disgust
abeille	1.4700000286102295	2.1603000164031982	1.8977999687194824	2.200000047683716	1.8898999691009521
abonné	1.5470999479293823	2.078900098800659	1.8187999725341797	2.166100025177002	1.8188999891281128
abricot	2.5915000438690186	1.4636000394821167	1.4199999570846558	1.5520000457763672	1.3871999979019165
absent	1.2666000127792358	2.4779999256134033	2.199399948120117	2.4038000106811523	2.1210999488830566
abstrait	1.5850000381469727	1.916599988937378	1.6904000043869019	1.985700011253357	1.7151999473571777
accordéon	2.147700071334839	1.6181999444961548	1.4707000255584717	1.7157000303268433	1.4810999631881714
acide	1.301300048828125	2.673799991607666	2.326200008392334	2.78439998626709	2.1696999073028564
agneau	2.4595999717712402	1.4637999534606934	1.4068000316619873	1.5394999980926514	1.3878999948501587
agréable	3.8373000621795654	1.4988000392913818	1.5573999881744385	1.7230000495910645	1.3969000577926636
aide	3.0441999435424805	1.5227999687194824	1.4846999645233154	1.6826000213623047	1.4106999635696411
aigle	2.71560001373291	1.568600058555603	1.4718999862670898	1.7172000408172607	1.4342999458312988
aiguille	1.4005999565124512	2.314199924468994	2.023900032043457	2.3373000621795654	1.9886000156402588
ail 	1.465499997138977	2.0750999450683594	1.8410999774932861	2.0810999870300293	1.8515000343322754
aile 	2.367799997329712	1.5528000593185425	1.4391000270843506	1.6576000452041626	1.4333000183105469
aisance	2.9874000549316406	1.4313000440597534	1.4448000192642212	1.5455000400543213	1.367799997329712
album	2.534899950027466	1.5174000263214111	1.4328999519348145	1.625599980354309	1.4114999771118164
alcool	2.2221999168395996	1.9081000089645386	1.677899956703186	2.085200071334839	1.6606999635696411
algèbre	1.3947999477386475	2.3606998920440674	2.0564000606536865	2.395699977874756	2.0104000568389893
allégorie	1.926800012588501	1.6060999631881714	1.454200029373169	1.6705000400543213	1.4833999872207642
alligator	1.4492000341415405	2.469599962234497	2.1263999938964844	2.597599983215332	2.0401999950408936
allumette 	1.9413000345230103	1.8479000329971313	1.6309000253677368	1.9718999862670898	1.6394000053405762
ambition	3.5399999618530273	1.6345000267028809	1.5729000568389893	1.8952000141143799	1.4567999839782715
ambulance 	1.2152999639511108	2.4851999282836914	2.2776999473571777	2.357300043106079	2.154099941253662
âme	2.9944000244140625	1.4703999757766724	1.4631999731063843	1.5999000072479248	1.3885999917984009
amer	1.1057000160217285	2.716900110244751	2.5810000896453857	2.5966999530792236	2.3376998901367188
ami	3.722399950027466	1.5858999490737915	1.5728000402450562	1.841599941253662	1.4341000318527222
amitié	4.032899856567383	1.593400001525879	1.606600046157837	1.882699966430664	1.4358999729156494
amour	2.926500082015991	1.798799991607666	1.6277999877929688	2.0480000972747803	1.5616999864578247
ampoule	1.67739999294281	1.5591000318527222	1.4110000133514404	1.5752999782562256	1.4644999504089355
ananas	2.1486001014709473	1.617900013923645	1.4704999923706055	1.715399980545044	1.4809000492095947
anarchie	1.3418999910354614	2.7708001136779785	2.3940999507904053	2.9553000926971436	2.1912999153137207
ancien	1.9428000450134277	1.5831999778747559	1.4388999938964844	1.6432000398635864	1.468400001525879
ancre	1.6627000570297241	1.7832000255584717	1.583899974822998	1.8485000133514404	1.6176999807357788
âne	1.815999984741211	1.566100001335144	1.4223999977111816	1.604200005531311	1.4631999731063843
ange 	3.3338000774383545	1.4789999723434448	1.5003000497817993	1.6449999809265137	1.3907999992370605
année	1.6289000511169434	1.841599941253662	1.6296000480651855	1.908400058746338	1.6607999801635742
antenne 	1.5937000513076782	1.6469999551773071	1.4759999513626099	1.6689000129699707	1.5292999744415283
anxiété	1.0678000450134277	3.1059000492095947	2.8024001121520996	3.235100030899048	2.4465999603271484
appareil	1.8476999998092651	1.6979999542236328	1.5164999961853027	1.7767000198364258	1.545199990272522
aptitude	2.835200071334839	1.5578999519348145	1.4772000312805176	1.7137999534606934	1.4277000427246094
aquarium	2.5897998809814453	1.4491000175476074	1.4134000539779663	1.5319000482559204	1.3795000314712524
araignée	1.2613999843597412	2.787100076675415	2.4326000213623047	2.912899971008301	2.2309999465942383
arbre	2.5141000747680664	1.458299994468689	1.410099983215332	1.5372999906539917	1.3848999738693237
arc 	1.5785000324249268	1.8432999849319458	1.6325000524520874	1.8981000185012817	1.6670000553131104
ardu	1.4763000011444092	2.2639999389648438	1.9630999565124512	2.3508999347686768	1.9313000440597534
argent	2.912600040435791	1.7122999429702759	1.5674999952316284	1.9356000423431396	1.5090999603271484
arme	1.3711999654769897	2.508699893951416	2.171299934387207	2.59689998626709	2.0757999420166016
armée	1.174399971961975	3.0083999633789062	2.7362000942230225	3.146699905395508	2.400399923324585
armoire	1.7177000045776367	1.5555000305175781	1.4101999998092651	1.576799988746643	1.4602999687194824
arrosoir	1.5882999897003174	1.6569000482559204	1.4837000370025635	1.679800033569336	1.5364999771118164
art	3.1335999965667725	1.5336999893188477	1.4970999956130981	1.7073999643325806	1.4148000478744507
artichaut	1.6572999954223633	1.6538000106811523	1.4829000234603882	1.6904000043869019	1.5298999547958374
aspect	1.728600025177002	1.6957000494003296	1.514799952507019	1.7549999952316284	1.5525000095367432
asperge	1.7281999588012695	1.5927000045776367	1.437600016593933	1.626099944114685	1.4840999841690063
aspirateur 	1.3187999725341797	2.305299997329712	2.0571999549865723	2.2163000106811523	2.0269999504089355
assiette 	2.0199999809265137	1.5407999753952026	1.4140000343322754	1.5979000329971313	1.4387999773025513
astronaute	2.2920000553131104	1.649399995803833	1.497499942779541	1.7750999927520752	1.4941999912261963
astuce	2.7788000106811523	1.5388000011444092	1.4637999534606934	1.6806999444961548	1.4191999435424805
atrocité	0.9732000231742859	3.3812999725341797	3.0601000785827637	3.5615999698638916	2.6182000637054443
attention	2.226900100708008	1.7615000009536743	1.573799967765808	1.9088000059127808	1.5672999620437622
attitude	2.133500099182129	1.5599000453948975	1.430999994277954	1.6378999948501587	1.4455000162124634
autre	1.6354999542236328	1.8122999668121338	1.6068999767303467	1.876099944114685	1.6401000022888184
autruche	1.7086999416351318	1.634600043296814	1.4681999683380127	1.676200032234192	1.5130000114440918
avenir	2.725399971008301	1.7446999549865723	1.580299973487854	1.9544999599456787	1.5348999500274658
avion	2.6552999019622803	1.8693000078201294	1.6655000448226929	2.101300001144409	1.6159000396728516
avocat	1.3997999429702759	2.125699996948242	1.8997000455856323	2.0739998817443848	1.904099941253662
bague	2.545300006866455	1.5784000158309937	1.4644999504089355	1.7131999731063843	1.4424999952316284
baguette 	2.446199893951416	1.4601999521255493	1.4040000438690186	1.533400058746338	1.386199951171875
baignoire 	2.890899896621704	1.4911999702453613	1.4594000577926636	1.6208000183105469	1.3980000019073486
bain	3.2425999641418457	1.479699969291687	1.4912999868392944	1.6374000310897827	1.3916000127792358
baisse	1.3654999732971191	2.236799955368042	1.992799997329712	2.1777000427246094	1.975000023841858
balai	1.506100058555603	1.8694000244140625	1.666700005531311	1.8787000179290771	1.705899953842163
balance	1.427299976348877	2.0478999614715576	1.8291000127792358	2.0127999782562256	1.8478000164031982
balançoire	2.834700107574463	1.5651999711990356	1.4803999662399292	1.7244000434875488	1.4313000440597534
balcon 	1.9951000213623047	1.5240000486373901	1.402500033378601	1.572100043296814	1.429900050163269
baleine	2.2005999088287354	1.5404000282287598	1.4228999614715576	1.6200000047683716	1.4320000410079956
balle	2.178999900817871	1.686900019645691	1.519700050354004	1.807800054550171	1.5227999687194824
ballon	1.979699969291687	1.569200038909912	1.4306000471115112	1.6301000118255615	1.457900047302246
banalité	1.4793000221252441	1.9466999769210815	1.736299991607666	1.9430999755859375	1.7682000398635864
banane	2.8938000202178955	1.5061999559402466	1.4643000364303589	1.643399953842163	1.4042999744415283
banc	2.0557000637054443	1.465499997138977	1.3710999488830566	1.5003000497817993	1.3937000036239624
banque	1.576300024986267	2.1886000633239746	1.8980000019073486	2.3017001152038574	1.8768999576568604
barbe 	1.7454999685287476	1.6385999917984009	1.47160005569458	1.687000036239624	1.513100028038025
barre 	1.6216000318527222	1.5360000133514404	1.3870999813079834	1.5377999544143677	1.4490000009536743
barrière	1.3562999963760376	2.302799940109253	2.0374999046325684	2.263200044631958	2.007200002670288
bassine	1.5429999828338623	1.7273999452590942	1.5397000312805176	1.7552000284194946	1.5885000228881836
bateau	2.5078001022338867	1.6014000177383423	1.4744999408721924	1.7410000562667847	1.4557000398635864
beau	3.6201000213623047	1.5535999536514282	1.55239999294281	1.7835999727249146	1.4210000038146973
bébé 	2.8424999713897705	1.6198999881744385	1.5083999633789062	1.8026000261306763	1.4589999914169312
bec 	1.645300030708313	1.695099949836731	1.5152000188827515	1.7383999824523926	1.559000015258789
berceau	2.6310999393463135	1.5276999473571777	1.4458999633789062	1.6497999429702759	1.4154000282287598
biberon 	2.236999988555908	1.5880000591278076	1.4532999992370605	1.6885000467300415	1.458299994468689
bibliothèque 	2.294100046157837	1.5140999555587769	1.4133000373840332	1.5953999757766724	1.4142999649047852
biche 	2.143199920654297	1.544600009918213	1.4220999479293823	1.6187000274658203	1.4363000392913818
bien 	3.526900053024292	1.5464999675750732	1.5407999753952026	1.7640000581741333	1.4184000492095947
bille	2.1712000370025635	1.4723000526428223	1.3842999935150146	1.5221999883651733	1.3955999612808228
