Word	Joy	Anger	Sadness	Fear	Disgust
abang	2.6507999897003174	1.5363999605178833	1.4515000581741333	1.6643999814987183	1.4193999767303467
aborsi	1.1210999488830566	2.99399995803833	2.7695999145507812	3.074700117111206	2.442699909210205
abu	1.38919997215271	2.262700080871582	1.9967000484466553	2.2488999366760254	1.9736000299453735
acar	1.687600016593933	1.6532000303268433	1.4824999570846558	1.6957000494003296	1.5270999670028687
acara	2.126300096511841	1.5633000135421753	1.432800054550171	1.6414999961853027	1.4479000568389893
adat	2.3213000297546387	1.6167000532150269	1.4759000539779663	1.736899971961975	1.4723999500274658
aerobik	2.014699935913086	1.739300012588501	1.5506000518798828	1.8518999814987183	1.5628999471664429
agar-agar	2.061500072479248	1.6175999641418457	1.4671000242233276	1.7032999992370605	1.4845999479293823
agresif	1.5463999509811401	2.5418999195098877	2.1796998977661133	2.75	2.0566000938415527
air	2.09060001373291	1.5192999839782715	1.4048999547958374	1.5777000188827515	1.4239000082015991
air terjun	2.212100028991699	1.6174999475479126	1.472499966621399	1.7233999967575073	1.4778000116348267
akal	2.511399984359741	1.6181000471115112	1.4846999645233154	1.763700008392334	1.4651999473571777
aksi	2.4665000438690186	1.6339999437332153	1.4931999444961548	1.7785999774932861	1.476699948310852
akta	1.6700999736785889	1.7700999975204468	1.573699951171875	1.8351000547409058	1.6081000566482544
aktivis	2.319000005722046	1.5888999700546265	1.4573999643325806	1.7003999948501587	1.455399990081787
alam	2.507499933242798	1.594599962234497	1.4704999923706055	1.7316999435424805	1.451799988746643
alami	2.7569000720977783	1.5051000118255615	1.4501999616622925	1.6288000345230103	1.4045000076293945
alasan	1.6469999551773071	2.0859999656677246	1.8198000192642212	2.200200080871582	1.812999963760376
alat	1.7005000114440918	1.7689000368118286	1.5720000267028809	1.8395999670028687	1.6044000387191772
alergi	1.1150000095367432	2.8290998935699463	2.587100028991699	2.7648000717163086	2.373500108718872
alis	1.597499966621399	1.8902000188827515	1.6686999797821045	1.9575999975204468	1.6964999437332153
aljabar	1.729599952697754	1.98580002784729	1.7410000562667847	2.0998001098632812	1.7458000183105469
alkohol	1.531999945640564	2.2616000175476074	1.9567999839782715	2.3685998916625977	1.9229999780654907
alun-alun	1.761299967765808	2.0283000469207764	1.7725000381469727	2.1579999923706055	1.7684999704360962
aman	2.799499988555908	1.5477999448776245	1.469599962234497	1.6957000494003296	1.42330002784729
ambisi	2.331899881362915	1.7015000581741333	1.5353000164031982	1.847000002861023	1.5250999927520752
ambisius	1.9865000247955322	2.006200075149536	1.753499984741211	2.1686999797821045	1.7371000051498413
amis	1.205399990081787	2.765899896621704	2.4472999572753906	2.808500051498413	2.2660999298095703
amok	1.4543999433517456	2.596299886703491	2.2360999584198	2.7776999473571777	2.0987000465393066
amoral	1.163599967956543	2.966599941253662	2.680000066757202	3.080699920654297	2.3773000240325928
anak	2.588200092315674	1.6002000570297241	1.4793000221252441	1.7482000589370728	1.4532999992370605
anak-anak	2.789400100708008	1.5866999626159668	1.486799955368042	1.750599980354309	1.4424999952316284
ancaman	1.1692999601364136	2.9886999130249023	2.710400104522705	3.114799976348877	2.390399932861328
aneh	1.5470000505447388	2.1649999618530273	1.8818000555038452	2.266200065612793	1.8666000366210938
anggun	2.532399892807007	1.5271999835968018	1.437000036239624	1.6395000219345093	1.416200041770935
anggur	2.247999906539917	1.6065000295639038	1.4661999940872192	1.7141000032424927	1.4693000316619873
angin	1.67739999294281	1.795799970626831	1.5932999849319458	1.8662999868392944	1.625
anjing	1.6204999685287476	2.08870005607605	1.8229000568389893	2.196899890899658	1.8171000480651855
anjing kecil	2.0297999382019043	1.742799997329712	1.5535999536514282	1.858299970626831	1.5643999576568604
antarnegara	1.9628000259399414	1.712399959564209	1.5298999547958374	1.8107000589370728	1.54830002784729
api	1.5815000534057617	2.142400026321411	1.863800048828125	2.2499001026153564	1.8508000373840332
arah	1.8768999576568604	1.836300015449524	1.6220999956130981	1.9485000371932983	1.636199951171875
arang	1.6008000373840332	1.9703999757766724	1.732800006866455	2.053299903869629	1.7486000061035156
arif	2.190700054168701	1.5145000219345093	1.4076999425888062	1.583400011062622	1.4178999662399292
aritmetika	1.6129000186920166	2.1970999240875244	1.9021999835968018	2.3215999603271484	1.8776999711990356
arogan	1.3652000427246094	2.587899923324585	2.240600109100342	2.7088000774383545	2.1133999824523926
asam	1.4519000053405762	2.3522000312805176	2.0313000679016113	2.4400999546051025	1.9830000400543213
asap	1.420199990272522	2.4609999656677246	2.1229000091552734	2.565200090408325	2.04259991645813
asing	1.5188000202178955	2.3096001148223877	1.9924999475479126	2.418100118637085	1.9501999616622925
asmara	3.11299991607666	1.5817999839782715	1.5121999979019165	1.7762999534606934	1.4362000226974487
astronot	2.370300054550171	1.5264999866485596	1.424399971961975	1.6217999458312988	1.4185999631881714
asyik	2.933199882507324	1.6878999471664429	1.5533000230789185	1.9055999517440796	1.4941999912261963
atletik	2.2913999557495117	1.5878000259399414	1.4555000066757202	1.6953999996185303	1.455899953842163
atmosfer	2.224600076675415	1.5540000200271606	1.4319000244140625	1.6414999961853027	1.4386999607086182
awan	1.9950000047683716	1.6526999473571777	1.4890999794006348	1.739400029182434	1.509600043296814
ayah	2.9914000034332275	1.542199969291687	1.4853999614715576	1.7064000368118286	1.419100046157837
babi	1.4456000328063965	2.4475998878479004	2.108099937438965	2.563499927520752	2.0306999683380127
badai	1.2137999534606934	2.8115999698638916	2.4749999046325684	2.910599946975708	2.2630999088287354
badan	1.9866000413894653	1.7024999856948853	1.523800015449524	1.8014999628067017	1.541100025177002
bagian	2.1463000774383545	1.5546000003814697	1.4283000230789185	1.6325000524520874	1.4419000148773193
bagus	2.485599994659424	1.927899956703186	1.7000999450683594	2.147700071334839	1.659500002861023
bahagia	2.654099941253662	1.8700000047683716	1.6660000085830688	2.1019999980926514	1.6164000034332275
bahasa	2.2822999954223633	1.575700044631958	1.4473999738693237	1.6780999898910522	1.4488999843597412
bahaya	1.271399974822998	2.8336000442504883	2.4721999168395996	2.988100051879883	2.242300033569336
baik	3.0058000087738037	1.5884000062942505	1.5056999921798706	1.774999976158142	1.440500020980835
bajing	1.6239999532699585	2.1008999347686768	1.8317999839782715	2.2121999263763428	1.823699951171875
bajingan	1.1821000576019287	3.085700035095215	2.7307000160217285	3.295099973678589	2.3698999881744385
bak	1.5843000411987305	2.0754001140594482	1.8144999742507935	2.171999931335449	1.813099980354309
bakat	2.7170000076293945	1.7934999465942383	1.614300012588501	2.0153000354766846	1.565600037574768
balai kota	1.7218999862670898	1.7338000535964966	1.5442999601364136	1.8007999658584595	1.5786999464035034
banci	1.1647000312805176	3.0113000869750977	2.747999906539917	3.1428000926971436	2.4105000495910645
bandara	1.885200023651123	2.026900053024292	1.7698999643325806	2.1782000064849854	1.7573000192642212
bangga	3.0471999645233154	1.648300051689148	1.538699984550476	1.8638999462127686	1.4702999591827393
bangkai	1.0425000190734863	2.82069993019104	2.8048999309539795	2.7149999141693115	2.4632999897003174
bangkrut	1.1411999464035034	3.000999927520752	2.757200002670288	3.109600067138672	2.4249000549316406
bangku	1.5094000101089478	2.0099000930786133	1.7802000045776367	2.0418999195098877	1.7972999811172485
bangsa	2.4655001163482666	1.5612000226974487	1.4493999481201172	1.6806999444961548	1.4348000288009644
bangsat	1.1303999423980713	3.015399932861328	2.755500078201294	3.1277999877929688	2.4235999584198
bangun	2.203900098800659	1.7639000415802002	1.5745999813079834	1.9088000059127808	1.5698000192642212
banjir	1.2610000371932983	2.6673998832702637	2.3397998809814453	2.719599962234497	2.1919000148773193
bank	2.017400026321411	1.6401000022888184	1.4810999631881714	1.7264000177383423	1.5006999969482422
bantal	2.390000104904175	1.4831000566482544	1.4069000482559204	1.5607999563217163	1.3973000049591064
bantuan	2.3197999000549316	1.5582000017166138	1.4394999742507935	1.659000039100647	1.4378999471664429
bar	1.4280999898910522	2.301800012588501	2.004499912261963	2.352099895477295	1.9692000150680542
barang	1.8447999954223633	1.736899971961975	1.5460000038146973	1.8245999813079834	1.5714000463485718
barbel	1.7337000370025635	1.969499945640564	1.7282999753952026	2.0808000564575195	1.7355999946594238
batang	1.623900055885315	1.9663000106811523	1.7288000583648682	2.0536999702453613	1.7438000440597534
batasan	1.6827000379562378	1.9103000164031982	1.6822999715805054	2.0000998973846436	1.7020000219345093
batu	1.6995999813079834	1.7389999628067017	1.548699975013733	1.8030999898910522	1.5841000080108643
bau	1.1644999980926514	2.8173999786376953	2.5160999298095703	2.8433001041412354	2.3101000785827637
bayangan	1.6167999505996704	1.8384000062942505	1.6274000406265259	1.901900053024292	1.6598000526428223
bayi	3.029099941253662	1.551800012588501	1.4921000003814697	1.7243000268936157	1.4228999614715576
beban	1.2561999559402466	2.6085000038146973	2.3032000064849854	2.599100112915039	2.180799961090088
