Word	Joy	Anger	Sadness	Fear	Disgust
abbaglio	1.4210000038146973	2.5469000339508057	2.196700096130371	2.68969988822937	2.0817999839782715
abbandonato	1.069000005722046	3.2228000164031982	2.8517000675201416	3.41759991645813	2.4590001106262207
abbondanza	2.90339994430542	1.5526000261306763	1.4808000326156616	1.7130000591278076	1.424399971961975
abbraccio	3.5197999477386475	1.562399983406067	1.5449999570846558	1.7870999574661255	1.4251999855041504
abete	2.450000047683716	1.549399971961975	1.4420000314712524	1.662600040435791	1.4289000034332275
abitante	2.1823999881744385	1.767899990081787	1.57669997215271	1.9108999967575073	1.573199987411499
abitazione	2.601599931716919	1.5111000537872314	1.4371000528335571	1.622499942779541	1.4082000255584717
abito	3.237799882888794	1.5679999589920044	1.5183000564575195	1.768399953842163	1.4287999868392944
abitudini	1.7337000370025635	2.064300060272217	1.8007999658584595	2.194200038909912	1.7924000024795532
aborto	1.0821000337600708	3.115499973297119	2.7911999225616455	3.2669999599456787	2.430500030517578
abuso	1.0300999879837036	3.1547000408172607	2.880000114440918	3.2723000049591064	2.504300117492676
accettazione	2.2671000957489014	1.7441999912261963	1.562999963760376	1.892300009727478	1.5546000003814697
accogliente	3.6654000282287598	1.5026999711990356	1.541200041770935	1.7122000455856323	1.3992999792099
accomodante	2.625200033187866	1.5658999681472778	1.4637000560760498	1.704200029373169	1.434499979019165
accordo	2.904900074005127	1.6390000581741333	1.523300051689148	1.835800051689148	1.4680999517440796
acqua	3.485100030899048	1.4960999488830566	1.520900011062622	1.684999942779541	1.3974000215530396
adorabile	3.219899892807007	1.5253000259399414	1.5032000541687012	1.7030999660491943	1.4108999967575073
adulto	2.3048999309539795	1.8579000234603882	1.6447999477386475	2.0376999378204346	1.6246999502182007
aereo	2.776099920272827	1.606600046157837	1.496399998664856	1.7769999504089355	1.4531999826431274
affamato	1.7294000387191772	2.255199909210205	1.9408999681472778	2.41510009765625	1.898800015449524
affascinare	3.801800012588501	1.6304999589920044	1.5952999591827393	1.9154000282287598	1.4528000354766846
affaticato	1.3661999702453613	2.5799999237060547	2.2334001064300537	2.6981000900268555	2.109499931335449
affetto	3.4212000370025635	1.597000002861023	1.5463000535964966	1.8289999961853027	1.4404000043869019
afflizione	1.059499979019165	3.12719988822937	2.819700002670288	3.257499933242798	2.4583001136779785
affogare	1.042799949645996	3.4595000743865967	3.0281999111175537	3.723599910736084	2.5660998821258545
aggressione	1.2280999422073364	3.0748000144958496	2.716200113296509	3.2992000579833984	2.355299949645996
aggressivo	1.3530000448226929	2.8427999019622803	2.4560000896453857	3.052999973297119	2.212599992752075
agile	3.0322000980377197	1.682800054550171	1.5571000576019287	1.909600019454956	1.489300012588501
agilità	3.6003000736236572	1.6836999654769897	1.600000023841858	1.9723000526428223	1.479699969291687
agnello	2.6057000160217285	1.5723999738693237	1.4657000303268433	1.711300015449524	1.4381999969482422
ago	1.3777999877929688	2.5799999237060547	2.2314999103546143	2.7072999477386475	2.1066999435424805
agonia	0.9879000186920166	3.540299892425537	3.13319993019104	3.8008999824523926	2.651099920272827
alba	3.5409998893737793	1.4527000188827515	1.511199951171875	1.6283999681472778	1.3769999742507935
albero	2.4707999229431152	1.530500054359436	1.4337999820709229	1.6380000114440918	1.4187999963760376
alcolista	1.105299949645996	2.990999937057495	2.782599925994873	3.043100118637085	2.461199998855591
alieno	2.372299909591675	1.8626999855041504	1.6506999731063843	2.052999973297119	1.6246999502182007
allegro	3.8064000606536865	1.5613000392913818	1.573699951171875	1.813099980354309	1.4234000444412231
allergia	1.2581000328063965	2.8208999633789062	2.4653000831604004	2.959399938583374	2.2441000938415527
allerta	1.926800012588501	2.2367000579833984	1.923699975013733	2.4449000358581543	1.8674999475479126
amato	3.9293999671936035	1.5220999717712402	1.5738999843597412	1.7666000127792358	1.4062999486923218
ambizione	3.7790000438690186	1.7375999689102173	1.641700029373169	2.0662999153137207	1.5045000314712524
ambulanza	1.1800999641418457	2.9855000972747803	2.6940999031066895	3.1189000606536865	2.3778998851776123
amichevole	3.2307000160217285	1.552299976348877	1.5126999616622925	1.7444000244140625	1.4221999645233154
amico	3.892899990081787	1.5778000354766846	1.587499976158142	1.845900058746338	1.429900050163269
ammirato	3.539599895477295	1.57669997215271	1.5513999462127686	1.8101999759674072	1.4311000108718872
amore	3.8217999935150146	1.6128000020980835	1.5911999940872192	1.8912999629974365	1.4450000524520874
angelo	3.127000093460083	1.4733999967575073	1.4776999950408936	1.6168999671936035	1.3894000053405762
angolo	1.7272000312805176	2.089600086212158	1.820099949836731	2.222100019454956	1.8076000213623047
angosciato	1.0749000310897827	3.0350000858306885	2.7887001037597656	3.1161999702453613	2.454400062561035
animale domestico	3.3477001190185547	1.5931999683380127	1.5379999876022339	1.8163000345230103	1.4392999410629272
annoiato	1.1123000383377075	2.9941999912261963	2.7746999263763428	3.0608999729156494	2.4518001079559326
ansioso	1.1031999588012695	3.191800117492676	2.806999921798706	3.4082999229431152	2.4209001064300537
apatico	1.1054999828338623	2.9899001121520996	2.7836999893188477	3.041100025177002	2.461699962615967
ape	1.430299997329712	2.6767001152038574	2.308500051498413	2.8778998851776123	2.140899896621704
appendiabiti	1.9335999488830566	1.8279000520706177	1.6155999898910522	1.9472999572753906	1.6263999938964844
appetitoso	3.693700075149536	1.5937999486923218	1.5723999738693237	1.850600004196167	1.437600016593933
applauso	3.1052000522613525	1.6234999895095825	1.5298999547958374	1.8355000019073486	1.4562000036239624
apprendere	3.611599922180176	1.6496000289916992	1.5858999490737915	1.9242000579833984	1.4632999897003174
arcobaleno	3.4217000007629395	1.5216000080108643	1.5224000215530396	1.7170000076293945	1.408400058746338
aria	3.2767999172210693	1.5615999698638916	1.5202000141143799	1.7625999450683594	1.4258999824523926
arma	1.3722000122070312	2.718600034713745	2.3499999046325684	2.904400110244751	2.1693999767303467
armadietto	2.1698999404907227	1.5976999998092651	1.4572999477386475	1.6922999620437622	1.4673000574111938
armadio	2.400899887084961	1.56659996509552	1.448699951171875	1.680299997329712	1.4398000240325928
arrabbiato	1.1276999711990356	3.123500108718872	2.763000011444092	3.322999954223633	2.3929998874664307
arrogante	1.1778000593185425	3.0780999660491943	2.7320001125335693	3.279099941253662	2.3742001056671143
arrugginito	1.4839999675750732	2.262700080871582	1.9609999656677246	2.353800058364868	1.9289000034332275
arte	3.4532999992370605	1.5341999530792236	1.5295000076293945	1.7386000156402588	1.413599967956543
ascensore	1.8877999782562256	2.0035998821258545	1.7522000074386597	2.1501998901367188	1.7431000471115112
asciugacapelli	2.499000072479248	1.5269999504089355	1.4342000484466553	1.6359000205993652	1.4164999723434448
asilo	2.9514999389648438	1.5785000324249268	1.496500015258789	1.7552000284194946	1.4363000392913818
aspro	1.5232000350952148	2.3671998977661133	2.0357000827789307	2.4948999881744385	1.978600025177002
assassino	1.0490000247955322	3.1947999000549316	2.8645999431610107	3.3506999015808105	2.47979998588562
assediato	1.351699948310852	2.6812000274658203	2.322499990463257	2.837100028991699	2.1589999198913574
