Word	Joy	Anger	Sadness	Fear	Disgust
maus-tratos	0.9975000023841858	3.4858999252319336	3.0929999351501465	3.7295000553131104	2.623199939727783
acidente	1.128000020980835	3.1157000064849854	2.759500026702881	3.3108999729156494	2.3917999267578125
realização	3.1738998889923096	1.5059000253677368	1.4924999475479126	1.669800043106079	1.402899980545044
activar	2.4195001125335693	1.8077000379562378	1.6134999990463257	1.9931000471115112	1.5877000093460083
admirado	2.38700008392334	1.6734999418258667	1.517699956893921	1.8187999725341797	1.5051000118255615
adorável	3.2750000953674316	1.461400032043457	1.4879000186920166	1.6146999597549438	1.382699966430664
afecto	3.66759991645813	1.458899974822998	1.5264999866485596	1.6490999460220337	1.3795000314712524
receoso	1.2447999715805054	2.880199909210205	2.5290000438690186	3.034600019454956	2.2736001014709473
agressivo	1.1999000310897827	3.151700019836426	2.755000114440918	3.4135000705718994	2.365799903869629
agonia	1.070199966430664	3.0987000465393066	2.7988998889923096	3.2256999015808105	2.444700002670288
alerta	1.8955999612808228	2.352099895477295	2.00819993019104	2.615499973297119	1.9191999435424805
sozinho	1.1411000490188599	2.7637999057769775	2.503999948501587	2.6807000637054443	2.323199987411499
distante	1.2412999868392944	2.5771000385284424	2.292099952697754	2.5179998874664307	2.1791000366210938
ambição	2.667799949645996	1.7827999591827393	1.6047999858856201	1.9951000213623047	1.5609999895095825
ambulância	1.325700044631958	2.8097000122070312	2.43149995803833	2.9941000938415527	2.2105000019073486
anjo	2.717099905014038	1.437999963760376	1.420699954032898	1.5288000106811523	1.3726999759674072
ira	1.326300024986267	3.065200090408325	2.7051000595092773	3.327699899673462	2.3313000202178955
irritado	1.323799967765808	3.0195000171661377	2.654400110244751	3.2679998874664307	2.308199882507324
angustiado	1.146299958229065	3.0041000843048096	2.754699945449829	3.1177000999450684	2.421799898147583
aborrecer	1.1054999828338623	2.878700017929077	2.6356000900268555	2.849600076675415	2.397200107574463
ansioso	1.5231000185012817	2.797100067138672	2.3949999809265137	3.07450008392334	2.161400079727173
agilidade	2.8940999507904053	1.595900058746338	1.499500036239624	1.7745000123977661	1.4455000162124634
exército	1.5865999460220337	2.286099910736084	1.971500039100647	2.4123001098632812	1.9305000305175781
excitado	2.934999942779541	1.686400055885315	1.5525000095367432	1.9039000272750854	1.493299961090088
arrogante	1.2444000244140625	2.968600034713745	2.6226000785827637	3.153899908065796	2.314199924468994
assassinar	1.0255999565124512	3.453200101852417	3.0436999797821045	3.70169997215271	2.5822999477386475
agressão	1.0608999729156494	3.300100088119507	2.9098000526428223	3.514699935913086	2.49429988861084
espantado	2.2263998985290527	2.0190999507904053	1.7624000310897827	2.22160005569458	1.7265000343322754
