Word	Joy	Anger	Sadness	Fear	Disgust
Armé	1.205299973487854	2.8587000370025635	2.5225000381469727	2.974400043487549	2.283400058746338
Aveny	2.1338000297546387	1.4718999862670898	1.3813999891281128	1.5176000595092773	1.3961999416351318
Avrättning	0.9833999872207642	3.5510001182556152	3.144700050354004	3.8134000301361084	2.659899950027466
Begravning	0.9991000294685364	3.280600070953369	2.9814999103546143	3.43149995803833	2.5678000450134277
Blodig	1.1937999725341797	3.005500078201294	2.7126998901367188	3.1572000980377197	2.3814001083374023
Boxare	1.6966999769210815	2.046299934387207	1.7877999544143677	2.1654000282287598	1.784999966621399
Brandman	2.6921000480651855	1.563099980354309	1.4673000574111938	1.7071000337600708	1.4319000244140625
Bröst	2.6475000381469727	1.5405999422073364	1.4530999660491943	1.670300006866455	1.4213999509811401
Bukett	3.2079999446868896	1.5037000179290771	1.495300054550171	1.669700026512146	1.4018000364303589
Cancer	0.9704999923706055	3.412899971008301	3.079900026321411	3.6064000129699707	2.6296000480651855
Casino	1.6205999851226807	2.049999952316284	1.7932000160217285	2.1519999504089355	1.7941999435424805
Chockad	1.407099962234497	2.6823999881744385	2.315999984741211	2.8733999729156494	2.147900104522705
Choklad	3.3982999324798584	1.517799973487854	1.5189000368118286	1.708899974822998	1.4069000482559204
Dansare	3.17549991607666	1.5745999813079834	1.5145000219345093	1.7721999883651733	1.4321000576019287
Dator	2.40939998626709	1.5298000574111938	1.4287999868392944	1.6306999921798706	1.4193999767303467
Demon	1.3931000232696533	2.470599889755249	2.135200023651123	2.5587000846862793	2.0532000064849854
Depression	1.0155999660491943	3.0927999019622803	2.8963000774383545	3.1161000728607178	2.5381999015808105
Dum	1.121500015258789	2.8297998905181885	2.577899932861328	2.7804999351501465	2.364799976348877
Död	0.9987000226974487	3.4056999683380127	3.0450000762939453	3.6145999431610107	2.5961999893188477
Ensamhet	1.082900047302246	2.979599952697754	2.8090999126434326	2.9791998863220215	2.4914000034332275
Fiende	1.2063000202178955	3.031599998474121	2.7307000160217285	3.2047998905181885	2.384399890899658
Flaska	1.6608999967575073	1.6015000343322754	1.4423999786376953	1.6267000436782837	1.4940999746322632
Ful	1.166200041770935	2.784600019454956	2.495300054550171	2.7711000442504883	2.3080999851226807
Fåfänga	1.4189000129699707	2.3143999576568604	2.0162999629974365	2.359299898147583	1.979200005531311
Fängelse	1.0636999607086182	2.969399929046631	2.8287999629974365	2.9230000972747803	2.51200008392334
Författare	2.718400001525879	1.490399956703186	1.4416999816894531	1.6030999422073364	1.3984999656677246
Förlamning	1.0068000555038452	3.06820011138916	2.9077000617980957	3.046999931335449	2.5520999431610107
Förlorare	1.0755000114440918	2.9402999877929688	2.7679998874664307	2.896199941635132	2.4776999950408936
Gaffel	1.7158000469207764	1.503499984741211	1.3704999685287476	1.5098999738693237	1.4249000549316406
Gisslan	1.101699948310852	3.055799961090088	2.7662999629974365	3.186300039291382	2.422100067138672
Glaciär	2.161600112915039	1.5748000144958496	1.4416999816894531	1.6613999605178833	1.4535000324249268
Gris	1.9316999912261963	1.5706000328063965	1.429800033569336	1.625499963760376	1.4608999490737915
Groda	2.1252999305725098	1.4646999835968018	1.3765000104904175	1.507099986076355	1.3919999599456787
Gryning	3.0023000240325928	1.4699000120162964	1.4637999534606934	1.600100040435791	1.3882999420166016
Hammare	1.6863000392913818	1.683500051498413	1.5056999921798706	1.7329000234603882	1.5476000308990479
Hav	3.295599937438965	1.4735000133514404	1.4946999549865723	1.6331000328063965	1.388700008392334
Helvete	1.1373000144958496	2.999300003051758	2.758699893951416	3.1040000915527344	2.427299976348877
Hotell	2.5576000213623047	1.4688999652862549	1.4185999631881714	1.555899977684021	1.3899999856948853
Huvudvärk	1.0954999923706055	2.9874000549316406	2.7934000492095947	3.017899990081787	2.474900007247925
Idol	2.6001999378204346	1.5928000211715698	1.476199984550476	1.7390999794006348	1.4491000175476074
Industri	1.4657000303268433	2.126699924468994	1.8767999410629272	2.149600028991699	1.8767000436782837
Infektion	1.09660005569458	2.9874000549316406	2.7925000190734863	3.02020001411438	2.4735000133514404
Inkräktare	1.1965999603271484	3.060499906539917	2.7260000705718994	3.25600004196167	2.3731000423431396
Investera	2.124500036239624	1.7115000486373901	1.534999966621399	1.8315000534057617	1.5405999422073364
Jordbävning	1.148300051689148	3.046799898147583	2.745300054550171	3.2005999088287354	2.4010000228881836
Kackerlacka	1.15910005569458	2.8643999099731445	2.5488998889923096	2.9400999546051025	2.3115999698638916
Kaos	1.2889000177383423	2.947499990463257	2.5857999324798584	3.1542000770568848	2.2862000465393066
Klippa	2.2385001182556152	1.501099944114685	1.402899980545044	1.5706000328063965	1.409000039100647
Klumpig	1.466599941253662	2.222100019454956	1.9394999742507935	2.2820000648498535	1.9184000492095947
Konkurs	1.1195000410079956	2.9948999881744385	2.7695999145507812	3.0738000869750977	2.4439001083374023
Kropp	2.4902000427246094	1.5640000104904175	1.4528000354766846	1.687399983406067	1.4358999729156494
Kvävas	0.963100016117096	3.6496999263763428	3.234800100326538	3.9458999633789062	2.7227001190185547
Lastbil	1.5771000385284424	1.8315999507904053	1.6236000061035156	1.8842999935150146	1.65910005569458
Legend	2.9623000621795654	1.5283000469207764	1.4780999422073364	1.6829999685287476	1.4134000539779663
Lejon	2.5852999687194824	1.5997999906539917	1.4788999557495117	1.7473000288009644	1.4530999660491943
Ljuga	1.128499984741211	2.9795000553131104	2.7392001152038574	3.064500093460083	2.42330002784729
Löss	1.1009999513626099	3.0218000411987305	2.766900062561035	3.1212000846862793	2.43530011177063
Massaker	0.9721999764442444	3.6036999225616455	3.1939001083374023	3.883500099182129	2.6939001083374023
Motorväg	1.6181999444961548	2.0731000900268555	1.8111000061035156	2.178100109100342	1.8083000183105469
Nyheter	2.3629000186920166	1.7474000453948975	1.568600058555603	1.9093999862670898	1.552299976348877
Obscen	1.4283000230789185	2.3850998878479004	2.059799909591675	2.46560001373291	2.0044000148773193
Odjur	1.3461999893188477	2.5631000995635986	2.2216999530792236	2.657900094985962	2.106300115585327
President	1.7625999450683594	1.763200044631958	1.5666999816894531	1.8437999486923218	1.5952999591827393
Rakblad	1.4169000387191772	2.376699924468994	2.057800054550171	2.4433000087738037	2.00570011138916
Reptil	1.5113999843597412	2.174299955368042	1.8913999795913696	2.264899969100952	1.8760000467300415
Rutten	1.105299949645996	2.678100109100342	2.5755999088287354	2.549999952316284	2.3201000690460205
Rykte	1.399899959564209	2.4535000324249268	2.1194000244140625	2.5390000343322754	2.0436999797821045
Sjukhus	1.4168000221252441	2.524199962615967	2.178100109100342	2.65310001373291	2.0725998878479004
Självisk	1.1577999591827393	2.894399881362915	2.5820999145507812	2.9872000217437744	2.325900077819824
Självmord	0.9236999750137329	3.6656999588012695	3.2853000164031982	3.944999933242798	2.778700113296509
Skador	1.1267000436782837	2.9981000423431396	2.761899948120117	3.0915000438690186	2.4347000122070312
Skalle	1.6253000497817993	1.7905000448226929	1.5901999473571777	1.8487000465393066	1.626099944114685
Skepp	2.1500000953674316	1.5498000383377075	1.4255000352859497	1.6266000270843506	1.4388999938964844
Skräp	1.2380000352859497	2.518199920654297	2.2539000511169434	2.424799919128418	2.15339994430542
Skyldig	1.1708999872207642	3.0129001140594482	2.746299982070923	3.1501998901367188	2.4066998958587646
Skyskrapa	2.0606000423431396	1.6865999698638916	1.5153000354766846	1.7913000583648682	1.527899980545044
Smuts	1.3531999588012695	2.235100030899048	1.9970999956130981	2.1600000858306885	1.9799000024795532
Smärta	1.0784000158309937	3.177799940109253	2.816200017929077	3.362600088119507	2.437299966812134
Spis	1.9172999858856201	1.5154000520706177	1.3937000036239624	1.5507999658584595	1.427899956703186
Stad	2.509999990463257	1.614400029182434	1.4823999404907227	1.7585999965667725	1.4630000591278076
Stank	1.0786999464035034	2.9781999588012695	2.812299966812134	2.9693000316619873	2.4951000213623047
Storm	1.69350004196167	2.3136000633239746	1.986199975013733	2.4855000972747803	1.9296000003814697
Straff	1.184999942779541	2.9892001152038574	2.6951000690460205	3.1277999877929688	2.3763999938964844
Stöld	1.1617000102996826	3.011899948120117	2.747999906539917	3.1410000324249268	2.4121999740600586
Svartsjuka	1.169700026512146	3.0694000720977783	2.735300064086914	3.2578999996185303	2.381200075149536
Svält	1.0012999773025513	3.2191998958587646	2.954699993133545	3.339099884033203	2.5583999156951904
Tandläkare	1.5587999820709229	2.0799999237060547	1.819100022315979	2.1705000400543213	1.8184000253677368
Tiggare	1.086899995803833	2.9105000495910645	2.7012999057769775	2.8729000091552734	2.4379000663757324
Tragedi	1.0434999465942383	3.134399890899658	2.848900079727173	3.254300117492676	2.4814999103546143
Träsk	1.4793000221252441	1.9880000352859497	1.773300051689148	1.982200026512146	1.79830002784729
Tävling	2.607800006866455	1.9457999467849731	1.7168999910354614	2.1872000694274902	1.6642999649047852
Upprörd	1.2202999591827393	3.033799886703491	2.727799892425537	3.2177000045776367	2.377500057220459
Vampyr	1.7050000429153442	2.000200033187866	1.7524000406265259	2.1124000549316406	1.756600022315979
Vild	2.770699977874756	1.7753000259399414	1.6038999557495117	1.998900055885315	1.552299976348877
Vin	3.0887999534606934	1.586899995803833	1.5123000144958496	1.7811000347137451	1.4388999938964844
Våldsam	1.0686999559402466	3.211199998855591	2.8447000980377197	3.400399923324585	2.4558000564575195
Äcklad	1.1543999910354614	3.009000062942505	2.750699996948242	3.1308999061584473	2.4166998863220215
Ängslig	1.126099944114685	2.9951999187469482	2.7653000354766846	3.0850000381469727	2.436800003051758
Överflöd	1.9453999996185303	1.867300033569336	1.6455999612808228	1.9950000047683716	1.6521999835968018

