	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9654	0.8665	0.8876	0.8795	0.8192	0.8836
2	0.9705	0.8731	0.8714	0.8661	0.7788	0.872
3	0.9425	0.8755	0.9013	0.8761	0.7407	0.8672
4	0.9682	0.8945	0.8715	0.8898	0.777	0.8802
5	0.9666	0.8571	0.8886	0.8386	0.8391	0.878
6	0.9637	0.879	0.8385	0.835	0.8104	0.8653
7	0.9452	0.8621	0.8172	0.8198	0.7765	0.8442
8	0.9579	0.8887	0.8958	0.8912	0.8254	0.8918
9	0.9586	0.8153	0.809	0.8571	0.7927	0.8465
10	0.9481	0.8543	0.85	0.876	0.7314	0.852
SD	0.0101	0.0222	0.0329	0.0245	0.0354	0.025
Average	0.9587	0.8666	0.8631	0.8629	0.7891	0.8681

