	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8258	0.8567	0.7881	0.8113	0.8553	0.8274
2	0.8553	0.8731	0.8559	0.8215	0.8741	0.856
3	0.7852	0.883	0.8438	0.8466	0.8301	0.8377
4	0.8439	0.8389	0.7985	0.8375	0.8071	0.8252
5	0.8636	0.8385	0.8057	0.7931	0.7808	0.8163
6	0.818	0.862	0.749	0.7308	0.8472	0.8014
7	0.8474	0.8021	0.6558	0.7527	0.8375	0.7791
8	0.789	0.8616	0.8049	0.7857	0.8099	0.8102
9	0.7994	0.7923	0.8168	0.8436	0.8341	0.8172
10	0.8304	0.8032	0.8152	0.8242	0.7911	0.8128
SD	0.0276	0.032	0.0565	0.039	0.0293	0.0369
Average	0.8258	0.8411	0.7934	0.8047	0.8267	0.8183

