	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9681	0.8691	0.8864	0.8678	0.8283	0.8839
2	0.9697	0.8823	0.8878	0.8792	0.7966	0.8831
3	0.9439	0.8755	0.9158	0.9005	0.7813	0.8834
4	0.9719	0.8966	0.8743	0.9031	0.7894	0.8871
5	0.9687	0.8773	0.8977	0.8448	0.8686	0.8914
6	0.9691	0.892	0.8387	0.863	0.8417	0.8809
7	0.9459	0.8894	0.8385	0.8361	0.7946	0.8609
8	0.9627	0.8927	0.8899	0.8959	0.8306	0.8944
9	0.9546	0.8509	0.8517	0.8704	0.8293	0.8714
10	0.9589	0.8356	0.8443	0.8651	0.6913	0.839
SD	0.0102	0.0197	0.0274	0.0226	0.0484	0.0257
Average	0.9613	0.8761	0.8725	0.8726	0.8052	0.8775

