	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9393	0.8525	0.8553	0.8647	0.8312	0.8686
2	0.9429	0.8692	0.8243	0.8589	0.7802	0.8551
3	0.9059	0.876	0.8397	0.8656	0.7277	0.843
4	0.9394	0.8639	0.8467	0.884	0.7479	0.8564
5	0.9354	0.8174	0.8246	0.8468	0.7818	0.8412
6	0.9379	0.8706	0.7962	0.8265	0.7863	0.8435
7	0.9216	0.8592	0.8071	0.8157	0.7269	0.8261
8	0.9357	0.8866	0.8444	0.8691	0.7739	0.8619
9	0.9309	0.8231	0.7598	0.8274	0.7888	0.826
10	0.9211	0.8165	0.8003	0.8695	0.6676	0.815
SD	0.0115	0.0256	0.0293	0.0226	0.0453	0.0269
Average	0.931	0.8535	0.8198	0.8528	0.7612	0.8437

