	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9369	0.8473	0.8454	0.8859	0.8281	0.8687
2	0.9349	0.8896	0.8548	0.8957	0.7833	0.8717
3	0.9283	0.8336	0.8018	0.8603	0.724	0.8296
4	0.9418	0.8703	0.7693	0.8459	0.8359	0.8526
5	0.9381	0.9063	0.8457	0.8928	0.7853	0.8736
6	0.9558	0.8682	0.8273	0.8843	0.8025	0.8676
7	0.9316	0.8577	0.787	0.8627	0.7832	0.8444
8	0.9513	0.8599	0.7647	0.832	0.7798	0.8375
9	0.9505	0.8372	0.8434	0.8472	0.8213	0.8599
10	0.9551	0.8356	0.7685	0.8155	0.6885	0.8126
SD	0.01	0.0239	0.0365	0.0273	0.0461	0.0288
Average	0.9424	0.8606	0.8108	0.8622	0.7832	0.8518

