	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8683	0.8383	0.8208	0.7614	0.8089	0.8195
2	0.8185	0.8302	0.7861	0.822	0.8252	0.8164
3	0.7997	0.783	0.738	0.7	0.8078	0.7657
4	0.8245	0.8213	0.8026	0.8323	0.8106	0.8183
5	0.8403	0.8648	0.8096	0.8423	0.8391	0.8392
6	0.8448	0.8557	0.8647	0.8306	0.8275	0.8447
7	0.8233	0.8572	0.8149	0.8495	0.8711	0.8432
8	0.7508	0.8594	0.7545	0.7543	0.7969	0.7832
9	0.863	0.8604	0.8336	0.8486	0.8314	0.8474
10	0.8282	0.8491	0.8203	0.7969	0.8479	0.8285
SD	0.0335	0.0251	0.0371	0.05	0.0222	0.0336
Average	0.8261	0.8419	0.8045	0.8038	0.8266	0.8206

