	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9393	0.8432	0.8505	0.8796	0.8455	0.8716
2	0.9315	0.8968	0.8648	0.8941	0.8013	0.8777
3	0.9324	0.8446	0.7888	0.8563	0.7366	0.8318
4	0.9386	0.8851	0.7812	0.8466	0.833	0.8569
5	0.934	0.9092	0.8616	0.8744	0.8177	0.8793
6	0.9565	0.8949	0.8333	0.8791	0.8297	0.8787
7	0.9346	0.8586	0.8037	0.856	0.7952	0.8496
8	0.9482	0.872	0.784	0.8397	0.8031	0.8494
9	0.9511	0.852	0.8612	0.8561	0.8251	0.8691
10	0.9538	0.8431	0.778	0.8108	0.6933	0.8158
SD	0.0095	0.025	0.037	0.024	0.0476	0.0286
Average	0.942	0.87	0.8207	0.8593	0.798	0.858

