	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9233	0.801	0.796	0.8314	0.814	0.8331
2	0.9073	0.8528	0.8081	0.8618	0.7654	0.8391
3	0.9057	0.8048	0.7669	0.8221	0.745	0.8089
4	0.9017	0.8471	0.7698	0.8421	0.798	0.8317
5	0.8928	0.8882	0.8143	0.8523	0.7767	0.8449
6	0.9446	0.8562	0.7949	0.8353	0.8017	0.8466
7	0.9215	0.8275	0.7741	0.8444	0.7721	0.8279
8	0.9311	0.8497	0.7578	0.8016	0.7907	0.8262
9	0.9363	0.8422	0.8194	0.8243	0.8017	0.8448
10	0.9185	0.7961	0.7268	0.7846	0.6857	0.7823
SD	0.0164	0.0291	0.029	0.0232	0.0376	0.0271
Average	0.9183	0.8366	0.7828	0.83	0.7751	0.8286

