	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9374	0.8012	0.7152	0.8499	0.5967	0.7801
2	0.8617	0.7359	0.6122	0.794	0.367	0.6742
3	0.8564	0.8035	0.6038	0.7198	0.2455	0.6458
4	0.8967	0.7931	0.5843	0.7909	0.5706	0.7271
5	0.9038	0.7304	0.6071	0.7929	0.4154	0.6899
6	0.8796	0.7598	0.6018	0.7125	0.4156	0.6739
7	0.8957	0.7557	0.63	0.7478	0.4685	0.6996
8	0.8806	0.7785	0.6329	0.8193	0.4293	0.7081
9	0.8747	0.7188	0.589	0.7956	0.4003	0.6757
10	0.8968	0.7579	0.6698	0.7453	0.4787	0.7097
SD	0.0233	0.03	0.0403	0.0441	0.1	0.0475
Average	0.8883	0.7635	0.6246	0.7768	0.4388	0.6984

