	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7709	0.7096	0.6653	0.7426	0.7066	0.719
2	0.6787	0.6669	0.6406	0.7441	0.6586	0.6778
3	0.7285	0.669	0.5304	0.7055	0.6515	0.657
4	0.7718	0.7758	0.6485	0.7515	0.684	0.7263
5	0.7529	0.7191	0.6959	0.8016	0.6086	0.7156
6	0.722	0.7497	0.6851	0.7077	0.6656	0.706
7	0.7854	0.7303	0.67	0.7253	0.6711	0.7164
8	0.7665	0.7142	0.6306	0.7547	0.6553	0.7043
9	0.7433	0.7244	0.5946	0.7368	0.6063	0.6811
10	0.7485	0.7103	0.6316	0.7378	0.717	0.709
SD	0.0311	0.0328	0.0483	0.0271	0.0361	0.0351
Average	0.7469	0.7169	0.6393	0.7408	0.6625	0.7013

