	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9416	0.8091	0.7026	0.852	0.579	0.7769
2	0.8656	0.7503	0.6275	0.8072	0.3835	0.6868
3	0.8684	0.809	0.6104	0.7158	0.2673	0.6542
4	0.9022	0.8174	0.6104	0.796	0.5367	0.7325
5	0.9078	0.7344	0.6273	0.8144	0.4084	0.6985
6	0.8861	0.7741	0.6835	0.7322	0.4931	0.7138
7	0.9034	0.7765	0.6177	0.7469	0.4959	0.7081
8	0.8929	0.799	0.64	0.8157	0.4469	0.7189
9	0.8796	0.7339	0.6202	0.8009	0.4675	0.7004
10	0.8973	0.7729	0.7013	0.765	0.5105	0.7294
SD	0.022	0.0309	0.0371	0.0429	0.0887	0.0443
Average	0.8945	0.7777	0.6441	0.7846	0.4589	0.7119

