	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8991	0.7898	0.5974	0.8079	0.5676	0.7324
2	0.8155	0.726	0.5401	0.7616	0.4067	0.65
3	0.8301	0.7849	0.5046	0.6929	0.29	0.6205
4	0.8643	0.798	0.5404	0.7579	0.5083	0.6938
5	0.871	0.7012	0.5368	0.7673	0.4173	0.6587
6	0.8322	0.7464	0.5624	0.7049	0.4816	0.6655
7	0.8619	0.7452	0.5194	0.7162	0.4549	0.6595
8	0.8467	0.7676	0.5296	0.7821	0.4493	0.6751
9	0.8397	0.72	0.5552	0.7633	0.4542	0.6665
10	0.8576	0.7611	0.5552	0.7142	0.4564	0.6689
SD	0.0242	0.0321	0.0256	0.0375	0.0721	0.0383
Average	0.8518	0.754	0.5441	0.7468	0.4486	0.6691

