	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9143	0.8241	0.4586	0.6987	0.6794	0.715
2	0.9446	0.7701	0.5442	0.811	0.6264	0.7393
3	0.8297	0.8296	0.7803	0.9253	0.6147	0.7959
4	0.931	0.8588	0.6767	0.9071	0.2762	0.73
5	0.9248	0.5171	0.266	0.7157	0.4494	0.5746
6	0.9564	0.7896	0.767	0.9087	0.5243	0.7892
7	0.9346	0.7739	0.7369	0.8866	0.7055	0.8075
8	0.9516	0.8174	0.7465	0.8709	0.5353	0.7843
9	0.9158	0.8647	0.6671	0.9133	0.7109	0.8144
10	0.9267	0.6924	0.6814	0.7555	0.755	0.7622
SD	0.0357	0.1032	0.1639	0.0872	0.1455	0.1071
Average	0.923	0.7738	0.6325	0.8393	0.5877	0.7512

