	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8516	0.5179	0.2199	0.4624	0.6389	0.5381
2	0.7632	0.2648	0.3768	0.2221	0.4187	0.4091
3	0.758	0.2757	0.4827	0.6047	0.4956	0.5234
4	0.7439	0.4261	0.2378	0.681	0.3242	0.4826
5	0.7336	0.2918	0.1721	0.5871	0.4007	0.437
6	0.7682	0.4448	0.3212	0.5818	0.5747	0.5381
7	0.7638	0.7117	0.4881	0.7849	0.5407	0.6578
8	0.7681	0.3992	0.2682	0.5098	0.341	0.4573
9	0.7676	0.4057	0.3228	0.6511	0.5052	0.5305
10	0.4765	0.4952	0.4726	0.6411	0.6031	0.5377
SD	0.0976	0.1345	0.1154	0.152	0.1092	0.1218
Average	0.7395	0.4233	0.3362	0.5726	0.4843	0.5112

