	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.931	0.7731	0.4141	0.7218	0.6935	0.7067
2	0.9363	0.6986	0.4988	0.8452	0.712	0.7382
3	0.8561	0.8004	0.8327	0.9178	0.6361	0.8086
4	0.935	0.8731	0.5937	0.8694	0.1204	0.6783
5	0.9085	0.4824	0.2839	0.664	0.5075	0.5692
6	0.9522	0.7406	0.7295	0.8976	0.3163	0.7272
7	0.932	0.758	0.8118	0.9108	0.6046	0.8035
8	0.9535	0.854	0.7809	0.853	0.616	0.8115
9	0.9125	0.8205	0.7697	0.9016	0.6531	0.8115
10	0.9215	0.7272	0.7283	0.7827	0.8057	0.7931
SD	0.028	0.11	0.1882	0.0865	0.2044	0.1234
Average	0.9238	0.7528	0.6444	0.8364	0.5665	0.7448

