	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.912	0.8005	0.3412	0.6847	0.6237	0.6724
2	0.9027	0.7322	0.5153	0.7746	0.5323	0.6914
3	0.8055	0.7795	0.6118	0.8544	0.4952	0.7093
4	0.895	0.8616	0.7216	0.9018	0.4148	0.759
5	0.8973	0.5828	0.3592	0.7288	0.3657	0.5868
6	0.9097	0.8248	0.8123	0.9248	0.6785	0.83
7	0.9192	0.706	0.6377	0.8605	0.5792	0.7405
8	0.9163	0.8204	0.7878	0.8517	0.5305	0.7813
9	0.9343	0.8097	0.6042	0.8809	0.6024	0.7663
10	0.9042	0.6468	0.5589	0.6909	0.6954	0.6992
SD	0.035	0.0885	0.16	0.0884	0.1068	0.0957
Average	0.8996	0.7564	0.595	0.8153	0.5518	0.7236

