	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9252	0.8727	0.7595	0.7388	0.8451	0.8283
2	0.9165	0.8564	0.7976	0.7859	0.7883	0.8289
3	0.9417	0.83	0.7844	0.8315	0.8054	0.8386
4	0.9471	0.8256	0.7809	0.7886	0.7906	0.8266
5	0.9276	0.8559	0.8421	0.8553	0.8386	0.8639
6	0.9347	0.79	0.7805	0.7254	0.7662	0.7993
7	0.9583	0.8496	0.8361	0.8187	0.8414	0.8608
8	0.8634	0.8348	0.8128	0.7481	0.753	0.8024
9	0.9255	0.8424	0.787	0.7223	0.8586	0.8272
10	0.9625	0.8517	0.845	0.8233	0.8396	0.8644
SD	0.0278	0.0227	0.0298	0.0479	0.0369	0.033
Average	0.9303	0.8409	0.8026	0.7838	0.8127	0.834

