	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7084	0.7428	0.6733	0.7271	0.6921	0.7087
2	0.7009	0.7549	0.6779	0.7279	0.6601	0.7044
3	0.6848	0.726	0.7062	0.7781	0.6952	0.7181
4	0.746	0.7327	0.7526	0.7214	0.6609	0.7227
5	0.7115	0.7068	0.6607	0.6743	0.6911	0.6889
6	0.6958	0.6466	0.6551	0.712	0.6582	0.6735
7	0.7183	0.7282	0.7231	0.741	0.7119	0.7245
8	0.6164	0.7058	0.658	0.7287	0.7302	0.6878
9	0.7247	0.7067	0.7513	0.7012	0.7081	0.7184
10	0.6736	0.5912	0.5951	0.6175	0.6356	0.6226
SD	0.0352	0.0495	0.0487	0.0428	0.0295	0.0412
Average	0.698	0.7042	0.6853	0.7129	0.6844	0.697

