	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9387	0.8783	0.7555	0.7364	0.8474	0.8313
2	0.9247	0.8514	0.7972	0.8068	0.8085	0.8377
3	0.9474	0.8354	0.7893	0.8211	0.7983	0.8383
4	0.9543	0.8212	0.7657	0.7928	0.8025	0.8273
5	0.9356	0.8573	0.8388	0.8505	0.8527	0.867
6	0.9432	0.7857	0.7842	0.7435	0.7837	0.8081
7	0.9557	0.8578	0.8408	0.8291	0.8463	0.8659
8	0.8659	0.8356	0.8154	0.7509	0.7596	0.8055
9	0.9268	0.8455	0.7994	0.7274	0.851	0.83
10	0.9653	0.8648	0.8498	0.8277	0.8641	0.8743
SD	0.0277	0.026	0.0321	0.0451	0.0354	0.0333
Average	0.9357	0.8433	0.8036	0.7886	0.8214	0.8385

