	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9066	0.8542	0.7468	0.7337	0.8344	0.8151
2	0.9123	0.8574	0.7658	0.7865	0.7961	0.8236
3	0.9228	0.8077	0.7889	0.8152	0.7882	0.8246
4	0.9245	0.7938	0.7353	0.7495	0.7899	0.7986
5	0.9096	0.8382	0.8151	0.8444	0.8355	0.8486
6	0.9114	0.7743	0.7319	0.7133	0.7642	0.779
7	0.9309	0.8355	0.8143	0.8275	0.8284	0.8473
8	0.8597	0.804	0.7735	0.7344	0.7508	0.7845
9	0.9017	0.8266	0.7819	0.7318	0.8479	0.818
10	0.9448	0.8466	0.8222	0.8204	0.8431	0.8554
SD	0.0226	0.0278	0.0331	0.0484	0.0346	0.0333
Average	0.9124	0.8238	0.7776	0.7757	0.8078	0.8195

