	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9455	0.8442	0.8166	0.8298	0.8186	0.851
2	0.9509	0.8855	0.8183	0.777	0.8338	0.8531
3	0.9471	0.8749	0.8071	0.7799	0.8361	0.849
4	0.9304	0.8717	0.8106	0.7824	0.78	0.835
5	0.9513	0.8495	0.8309	0.7943	0.8185	0.8489
6	0.9346	0.8768	0.8386	0.8197	0.8397	0.8619
7	0.9426	0.8628	0.8162	0.7814	0.8088	0.8424
8	0.9479	0.8377	0.826	0.823	0.8171	0.8504
9	0.9342	0.8627	0.762	0.7695	0.8187	0.8294
10	0.9565	0.8815	0.8404	0.8125	0.8173	0.8617
SD	0.0085	0.0163	0.0223	0.0222	0.0169	0.0172
Average	0.9441	0.8647	0.8167	0.797	0.8189	0.8483

