	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.713	0.7083	0.6952	0.7351	0.7374	0.7178
2	0.7267	0.6736	0.713	0.7379	0.7205	0.7143
3	0.7359	0.7366	0.7227	0.6751	0.6608	0.7062
4	0.709	0.7169	0.6891	0.7425	0.6042	0.6924
5	0.733	0.7202	0.7377	0.7703	0.7364	0.7395
6	0.7232	0.6994	0.7527	0.7633	0.6644	0.7206
7	0.6328	0.7184	0.6313	0.6692	0.6758	0.6655
8	0.7084	0.7194	0.7174	0.7444	0.6863	0.7152
9	0.6543	0.6874	0.6827	0.7408	0.6873	0.6905
10	0.6628	0.7202	0.6897	0.7437	0.7449	0.7123
SD	0.0364	0.0185	0.0339	0.0336	0.044	0.0333
Average	0.6999	0.71	0.7031	0.7322	0.6918	0.7074

