	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9459	0.8494	0.8299	0.8405	0.821	0.8573
2	0.953	0.8884	0.8281	0.7961	0.8438	0.8619
3	0.9491	0.8822	0.8052	0.7916	0.8435	0.8543
4	0.9311	0.871	0.8275	0.778	0.7909	0.8397
5	0.9554	0.8525	0.8321	0.8016	0.8236	0.853
6	0.939	0.8912	0.8528	0.8276	0.8451	0.8711
7	0.9439	0.8702	0.8259	0.7925	0.824	0.8513
8	0.952	0.8439	0.8352	0.8252	0.8159	0.8544
9	0.9379	0.8736	0.7764	0.7781	0.8246	0.8381
10	0.957	0.89	0.8399	0.8235	0.8177	0.8656
SD	0.0084	0.0175	0.0209	0.0221	0.0164	0.0171
Average	0.9464	0.8712	0.8253	0.8055	0.825	0.8547

