	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9371	0.8432	0.796	0.8377	0.8101	0.8448
2	0.9476	0.8796	0.793	0.7961	0.8119	0.8456
3	0.9415	0.8767	0.7916	0.7953	0.8272	0.8465
4	0.9234	0.8664	0.8098	0.768	0.7849	0.8305
5	0.9462	0.8516	0.8207	0.7939	0.8143	0.8454
6	0.9302	0.8872	0.8265	0.8194	0.8225	0.8571
7	0.9351	0.8652	0.8185	0.7911	0.8193	0.8458
8	0.9402	0.8428	0.8188	0.8251	0.7919	0.8438
9	0.9254	0.8682	0.7513	0.7721	0.7916	0.8217
10	0.9485	0.8917	0.8163	0.832	0.8043	0.8585
SD	0.009	0.0172	0.0224	0.0243	0.0143	0.0174
Average	0.9375	0.8672	0.8042	0.8031	0.8078	0.844

