	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9368	0.8593	0.8066	0.7933	0.7151	0.8222
2	0.9115	0.7957	0.8249	0.8136	0.6355	0.7962
3	0.9353	0.8043	0.7657	0.7668	0.6772	0.7898
4	0.9277	0.8374	0.7961	0.8259	0.6409	0.8056
5	0.9399	0.8469	0.8259	0.8377	0.6617	0.8224
6	0.9439	0.8182	0.8054	0.7897	0.7106	0.8136
7	0.9274	0.8571	0.8211	0.7451	0.654	0.8009
8	0.945	0.833	0.829	0.8346	0.6823	0.8248
9	0.9308	0.7795	0.8174	0.8066	0.7042	0.8077
10	0.933	0.8432	0.8163	0.8036	0.7012	0.8195
SD	0.0098	0.027	0.019	0.0294	0.0293	0.0229
Average	0.9331	0.8275	0.8108	0.8017	0.6783	0.8103

