	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7615	0.8238	0.7697	0.7975	0.7427	0.779
2	0.7374	0.7493	0.784	0.7869	0.7598	0.7635
3	0.7385	0.7877	0.7535	0.7574	0.729	0.7532
4	0.77	0.7909	0.7461	0.7638	0.7351	0.7612
5	0.7865	0.8288	0.7855	0.7815	0.7893	0.7943
6	0.7899	0.7837	0.7885	0.7516	0.7958	0.7819
7	0.7691	0.8158	0.7769	0.7334	0.7345	0.7659
8	0.8013	0.8188	0.8376	0.807	0.7986	0.8127
9	0.7617	0.7994	0.7859	0.8125	0.7774	0.7874
10	0.7569	0.7722	0.8157	0.7497	0.7388	0.7667
SD	0.0209	0.0253	0.0269	0.0268	0.0277	0.0255
Average	0.7673	0.797	0.7843	0.7741	0.7601	0.7766

