	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9385	0.8739	0.8087	0.805	0.7063	0.8265
2	0.9136	0.8123	0.8499	0.8144	0.6779	0.8136
3	0.9376	0.8127	0.7823	0.7761	0.7311	0.808
4	0.9304	0.843	0.7929	0.8296	0.6408	0.8073
5	0.9431	0.8423	0.8328	0.8367	0.7024	0.8314
6	0.9442	0.8274	0.8251	0.8025	0.7419	0.8282
7	0.932	0.8461	0.825	0.7584	0.658	0.8039
8	0.9464	0.8323	0.8392	0.8437	0.7112	0.8346
9	0.9314	0.7728	0.8229	0.8029	0.7143	0.8088
10	0.9376	0.8467	0.8183	0.8009	0.7203	0.8248
SD	0.0094	0.0272	0.0205	0.0262	0.0321	0.0231
Average	0.9355	0.8309	0.8197	0.807	0.7004	0.8187

