	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9197	0.8344	0.7468	0.7961	0.6557	0.7905
2	0.8798	0.787	0.7567	0.777	0.6405	0.7682
3	0.9126	0.7885	0.7414	0.7644	0.6714	0.7757
4	0.9006	0.8002	0.6866	0.7862	0.6424	0.7632
5	0.9199	0.7984	0.7501	0.7867	0.6616	0.7834
6	0.9146	0.7719	0.7077	0.7578	0.6716	0.7647
7	0.9045	0.8025	0.7609	0.7574	0.6253	0.7701
8	0.9167	0.8091	0.7688	0.824	0.6552	0.7948
9	0.9061	0.7579	0.7824	0.7833	0.6997	0.7859
10	0.9175	0.8037	0.751	0.7658	0.6667	0.781
SD	0.0123	0.0209	0.0283	0.0204	0.0206	0.0205
Average	0.9092	0.7954	0.7452	0.7799	0.659	0.7777

