	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9851	0.9115	0.8508	0.8676	0.7849	0.88
2	0.9716	0.9299	0.8675	0.9203	0.7345	0.8848
3	0.9741	0.9116	0.8395	0.8735	0.8395	0.8876
4	0.9812	0.9308	0.8735	0.8624	0.8663	0.9028
5	0.9714	0.8858	0.9016	0.8965	0.7932	0.8897
6	0.9758	0.9071	0.852	0.855	0.7913	0.8763
7	0.9759	0.9125	0.8626	0.8949	0.7434	0.8779
8	0.9762	0.9082	0.8218	0.8137	0.7249	0.849
9	0.9534	0.8967	0.8334	0.8859	0.816	0.8771
10	0.9821	0.8844	0.8756	0.8926	0.8605	0.899
SD	0.0087	0.0157	0.0233	0.0292	0.0507	0.0255
Average	0.9747	0.9079	0.8578	0.8762	0.7955	0.8824

