	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7202	0.8428	0.7497	0.817	0.8102	0.788
2	0.8379	0.7881	0.8222	0.8457	0.7954	0.8179
3	0.829	0.8844	0.8012	0.7591	0.8479	0.8243
4	0.8563	0.8307	0.8002	0.8204	0.7612	0.8138
5	0.7759	0.8542	0.8313	0.865	0.7655	0.8184
6	0.7736	0.8424	0.7994	0.8479	0.838	0.8203
7	0.8568	0.8577	0.7998	0.8155	0.8219	0.8303
8	0.8195	0.7708	0.7274	0.7731	0.4969	0.7175
9	0.8254	0.7277	0.7118	0.7764	0.7024	0.7487
10	0.728	0.8348	0.802	0.7832	0.7846	0.7865
SD	0.05	0.0471	0.0404	0.0361	0.1025	0.0552
Average	0.8023	0.8234	0.7845	0.8103	0.7624	0.7966

