	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9857	0.9133	0.8445	0.8625	0.7911	0.8794
2	0.9709	0.9352	0.8875	0.9316	0.7505	0.8951
3	0.9743	0.9182	0.8483	0.8622	0.8468	0.89
4	0.9823	0.9433	0.8503	0.8563	0.8358	0.8936
5	0.9771	0.9057	0.9072	0.9153	0.8337	0.9078
6	0.975	0.9073	0.8582	0.8447	0.809	0.8788
7	0.9766	0.9085	0.8781	0.8962	0.7895	0.8898
8	0.975	0.9055	0.8339	0.8163	0.7621	0.8586
9	0.9628	0.9034	0.8389	0.8941	0.803	0.8805
10	0.9866	0.8882	0.8903	0.9073	0.856	0.9057
SD	0.0071	0.016	0.0251	0.0359	0.0354	0.0239
Average	0.9766	0.9129	0.8637	0.8787	0.8077	0.8879

