	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9669	0.8937	0.8054	0.8457	0.7343	0.8492
2	0.9587	0.9123	0.8183	0.8978	0.71	0.8594
3	0.9581	0.8962	0.8105	0.8373	0.8128	0.863
4	0.9609	0.9121	0.8705	0.8346	0.8359	0.8828
5	0.9678	0.874	0.8495	0.9012	0.8083	0.8802
6	0.9527	0.8743	0.8123	0.82	0.7803	0.8479
7	0.964	0.9016	0.8519	0.9122	0.7475	0.8754
8	0.9674	0.8841	0.8078	0.8027	0.7554	0.8435
9	0.9487	0.8899	0.792	0.85	0.7773	0.8516
10	0.9611	0.8843	0.8343	0.8854	0.8241	0.8779
SD	0.0064	0.0137	0.0251	0.0378	0.0416	0.0249
Average	0.9606	0.8922	0.8253	0.8587	0.7786	0.8631

