	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9537	0.8675	0.8582	0.829	0.7862	0.8589
2	0.962	0.8593	0.8481	0.8567	0.7163	0.8485
3	0.947	0.8062	0.8227	0.9019	0.7037	0.8363
4	0.9411	0.824	0.7961	0.8911	0.6817	0.8268
5	0.9517	0.8541	0.7923	0.8346	0.7455	0.8356
6	0.9722	0.889	0.8567	0.8701	0.7183	0.8613
7	0.9652	0.8654	0.8484	0.9202	0.7294	0.8657
8	0.9625	0.8453	0.8596	0.8805	0.8132	0.8722
9	0.9565	0.8778	0.8529	0.8772	0.8021	0.8733
10	0.959	0.83	0.7415	0.8255	0.6965	0.8105
SD	0.0091	0.0257	0.0394	0.032	0.0461	0.0305
Average	0.9571	0.8519	0.8277	0.8687	0.7393	0.8489

