	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7425	0.7884	0.7046	0.7141	0.8328	0.7565
2	0.8198	0.7867	0.8438	0.7638	0.7026	0.7834
3	0.7467	0.8203	0.8244	0.8127	0.6754	0.7759
4	0.7376	0.8132	0.8146	0.76	0.7389	0.7729
5	0.7686	0.7869	0.688	0.7474	0.7628	0.7507
6	0.7409	0.7935	0.802	0.7374	0.674	0.7496
7	0.7848	0.8013	0.7977	0.7966	0.7208	0.7803
8	0.765	0.7775	0.7788	0.7414	0.7648	0.7655
9	0.797	0.8544	0.8289	0.7575	0.8128	0.8101
10	0.8026	0.7778	0.8561	0.8089	0.7825	0.8056
SD	0.0293	0.0237	0.0562	0.0325	0.0545	0.0392
Average	0.7706	0.8	0.7939	0.764	0.7467	0.775

