	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9515	0.8807	0.8557	0.8211	0.8037	0.8625
2	0.9652	0.8552	0.8585	0.8631	0.7014	0.8487
3	0.9446	0.8318	0.8413	0.9062	0.7789	0.8606
4	0.9443	0.825	0.7987	0.8873	0.6996	0.831
5	0.9513	0.8411	0.799	0.8385	0.7656	0.8391
6	0.9727	0.8787	0.8622	0.8703	0.7169	0.8601
7	0.9633	0.8523	0.8299	0.9168	0.6795	0.8484
8	0.9619	0.8411	0.8768	0.8718	0.8285	0.876
9	0.957	0.8833	0.8583	0.8757	0.8347	0.8818
10	0.9607	0.834	0.75	0.838	0.7317	0.8229
SD	0.0092	0.0217	0.0393	0.0303	0.0562	0.0313
Average	0.9572	0.8523	0.833	0.8689	0.7541	0.8531

