	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9332	0.8025	0.7587	0.7755	0.7297	0.7999
2	0.9447	0.8015	0.7665	0.8272	0.6455	0.7971
3	0.9252	0.7726	0.7446	0.8875	0.6684	0.7997
4	0.9184	0.8014	0.7697	0.8744	0.6389	0.8006
5	0.9246	0.7991	0.7566	0.8089	0.6435	0.7865
6	0.9553	0.855	0.7807	0.8448	0.6841	0.824
7	0.9539	0.8337	0.7746	0.8936	0.6623	0.8236
8	0.9463	0.7972	0.7821	0.8482	0.7176	0.8183
9	0.9415	0.8491	0.7989	0.8401	0.7051	0.827
10	0.94	0.7888	0.6821	0.797	0.6122	0.764
SD	0.0126	0.0268	0.0318	0.0388	0.0379	0.0296
Average	0.9383	0.8101	0.7615	0.8397	0.6707	0.8041

